date,open,high,low,close,volume
2026-04-06 13:30:00,655.8599853515625,656.8499755859375,655.7999877929688,656.7349853515625,1742003
2026-04-06 13:31:00,656.75,657.1900024414062,656.5900268554688,656.739990234375,250441
2026-04-06 13:32:00,656.739990234375,656.9600219726562,655.9199829101562,656.0999755859375,197892
2026-04-06 13:33:00,656.0900268554688,657.3300170898438,656.010009765625,657.27001953125,213381
2026-04-06 13:34:00,657.260009765625,657.4199829101562,656.8499755859375,657.3699951171875,175315
2026-04-06 13:35:00,657.3599853515625,657.9099731445312,657.1300048828125,657.1300048828125,259768
2026-04-06 13:36:00,657.1300048828125,657.1300048828125,655.8300170898438,655.8699951171875,210395
2026-04-06 13:37:00,655.8300170898438,656.1199951171875,655.52001953125,655.9199829101562,220435
2026-04-06 13:38:00,655.97998046875,656.3499755859375,655.77001953125,656.2550048828125,100621
2026-04-06 13:39:00,656.2550048828125,656.760009765625,656.239990234375,656.59521484375,165727
2026-04-06 13:40:00,656.5599975585938,656.6900024414062,655.8900146484375,656.5800170898438,148083
2026-04-06 13:41:00,656.5800170898438,656.989990234375,656.489990234375,656.8250122070312,109526
2026-04-06 13:42:00,656.8099975585938,657.030029296875,656.6699829101562,656.9332885742188,89679
2026-04-06 13:43:00,656.9600219726562,657.2899780273438,656.8300170898438,656.9699096679688,101724
2026-04-06 13:44:00,656.9600219726562,657.0499267578125,656.5999755859375,656.7550048828125,144552
2026-04-06 13:45:00,656.760009765625,657.5800170898438,656.6900024414062,657.4644165039062,155486
2026-04-06 13:46:00,657.4199829101562,657.8400268554688,657.280029296875,657.4349975585938,165626
2026-04-06 13:47:00,657.4400024414062,657.4400024414062,656.9099731445312,657.2899780273438,72982
2026-04-06 13:48:00,657.3300170898438,657.3599853515625,656.969970703125,657.22998046875,70150
2026-04-06 13:49:00,657.219970703125,657.5499877929688,657.0599975585938,657.0800170898438,89479
2026-04-06 13:50:00,657.0999755859375,657.3699951171875,656.8599853515625,657.3300170898438,128306
2026-04-06 13:51:00,657.3499755859375,657.9400024414062,657.340087890625,657.6400146484375,101497
2026-04-06 13:52:00,657.6300048828125,657.9500122070312,657.4600219726562,657.5599975585938,102821
2026-04-06 13:53:00,657.5599975585938,657.822021484375,657.22998046875,657.751220703125,100103
2026-04-06 13:54:00,657.75,657.9400024414062,657.5750122070312,657.5750122070312,79515
2026-04-06 13:55:00,657.6099853515625,657.7999877929688,657.280029296875,657.3099975585938,66896
