2026-04-07T09:26:07.638+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:26:44.342+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:26:46.297+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:26:53.900+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:26:53.915+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:26:56.324+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:26:58.691+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:27:07.502+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:27:07.507+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:27:07.913+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:28:16.729+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T09:29:43.816+03:00 | INFO | db.database:105 | Database ready: db\trading.db
2026-04-07T09:29:59.499+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:30:01.926+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:30:57.180+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:30:59.268+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:31:05.748+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:31:08.002+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:31:45.319+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:31:47.537+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:05.082+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:07.289+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:13.482+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:15.580+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:24.945+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:26.932+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:29.149+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:37.176+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:37.186+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:32:39.548+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:32:42.013+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:51.187+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:32:51.191+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:32:51.719+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:34:02.785+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T09:35:31.753+03:00 | INFO | db.database:105 | Database ready: db\trading.db
2026-04-07T09:35:46.112+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:35:48.153+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:35:59.355+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:36:01.605+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:36:11.988+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:36:11.996+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:36:14.032+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:36:16.494+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:36:25.758+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:36:25.762+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:36:26.299+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:37:37.723+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T09:39:00.577+03:00 | INFO | db.database:105 | Database ready: db\trading.db
2026-04-07T09:39:11.040+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:39:12.878+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:48:47.187+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:48:49.444+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:48:55.838+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:48:57.984+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:49:44.812+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:49:45.095+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
