date,open,high,low,close,volume
2023-04-01 00:00:00,24.22,24.33,23.88,24.13,38878760.0
2023-05-01 00:00:00,24.13,24.98,23.97,24.87,52999741.0
2023-06-01 00:00:00,24.88,25.0,23.83,24.7,43147864.0
2023-07-01 00:00:00,24.73,24.87,23.94,24.55,28873415.0
2023-08-01 00:00:00,24.66,25.3,24.54,24.96,29224667.0
2023-09-01 00:00:00,25.13,26.27,25.06,25.75,21797326.0
2023-10-01 00:00:00,25.93,26.15,25.75,26.13,30872793.0
2023-11-01 00:00:00,26.13,26.23,25.02,25.48,40961978.0
2023-12-01 00:00:00,25.48,25.92,24.9,25.11,38082451.0
2024-01-01 00:00:00,24.97,25.8,24.97,25.73,29170103.0
2024-02-01 00:00:00,25.77,26.33,25.56,26.0,30982532.0
2024-03-01 00:00:00,25.84,26.34,25.61,26.25,13309288.0
2024-04-01 00:00:00,26.26,27.02,26.11,27.02,19318545.0
2024-05-01 00:00:00,26.83,27.25,26.36,26.51,15535414.0
2024-06-01 00:00:00,25.73,27.02,25.73,26.97,12341562.0
2024-07-01 00:00:00,26.94,27.38,26.18,26.63,16468432.0
2024-08-01 00:00:00,26.67,26.73,25.12,26.18,25299981.0
2024-09-01 00:00:00,26.21,26.33,25.87,26.07,13475095.0
2024-10-01 00:00:00,26.17,27.19,25.92,27.02,17225540.0
2024-11-01 00:00:00,26.96,28.14,26.89,27.64,17918733.0
2024-12-01 00:00:00,27.76,29.0,27.55,28.44,16900083.0
2025-01-01 00:00:00,28.47,29.16,28.13,28.52,41157452.0
2025-02-01 00:00:00,28.51,29.01,28.01,28.4,21909707.0
2025-03-01 00:00:00,28.38,28.38,26.68,27.44,15891193.0
2025-04-01 00:00:00,27.61,27.65,25.98,26.61,28797279.0
2025-05-01 00:00:00,26.57,27.25,26.4,26.54,20753711.0
2025-06-01 00:00:00,26.39,26.65,25.97,25.98,28593114.0
2025-07-01 00:00:00,25.91,26.99,25.58,26.98,31496137.0
2025-08-01 00:00:00,26.98,27.04,26.32,26.32,20371262.0
2025-09-01 00:00:00,26.45,26.8,26.11,26.6,18456398.0
2025-10-01 00:00:00,26.54,27.27,26.51,27.27,24623011.0
2025-11-01 00:00:00,27.29,27.73,27.05,27.38,23074161.0
2025-12-01 00:00:00,27.41,28.87,26.13,27.03,25522864.0
2026-01-01 00:00:00,27.11,27.46,26.395,26.88,25891662.0
2026-02-01 00:00:00,26.89,27.4287,26.71,27.09,24021371.0
2026-03-01 00:00:00,27.24,28.58,27.24,27.7904,78132461.0
2026-04-01 00:00:00,27.58,28.0,27.57,27.8,7728571.0
