symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,selected_branch,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
ZS,2024-05-31,amc,35.94,15.802322306031114,0.0981568328062065,0.0654378885374562,failed_reclaim,4.278,0.0,11.225,1,Short,5.005929,Entry: Short @ 173.7100 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=186.1100 | TP=none | Short qty floored 5.756721 → 5 (Alpaca integer rule). | fill_diag: close=173.7100 H=175.3900 L=173.7000 range=0.973% | session_exit=eod | Session-close exit
FTNT,2024-08-07,amc,40.18,25.65403096636414,-0.015424957581378,-0.015424957581378,continuation,8.498,0.0,11.225,1,Long,8.577600,Entry: Long @ 64.8200 (signal-bar close) | regime=earnings_continuation_long | SL=62.2272 | TP=none | fill_diag: close=64.8200 H=64.8200 L=64.8200 range=0.000% | session_exit=eod | Session-close exit
TSLA,2024-10-24,amc,24.76,18.231147388924956,0.1268445308866495,0.101475624709324,continuation,7.172,0.0,11.225,1,Long,7.252376,Entry: Long @ 236.7500 (signal-bar close) | regime=earnings_continuation_long | SL=227.2800 | TP=none | fill_diag: close=236.7500 H=236.8400 L=236.6900 range=0.063% | session_exit=eod | Session-close exit
RBLX,2024-10-31,bmo,4.3,24.64504213321021,0.0,0.3211009174311829,wave_best,6.442,0.0,11.0325,2,Short|Long,2.462462|4.141737,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | Short qty floored 20.020020 → 20 (Alpaca integer rule). | fill_diag: close=49.9500 H=51.1500 L=49.4900 range=3.323% | session_exit=eod || Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | fill_diag: close=49.7400 H=49.9700 L=49.4500 range=1.045% | session_exit=eod
TEAM,2024-11-01,amc,19.01,23.28608315329081,0.0,0.0,wave_best,0.272,-1.987,0.6631,2,Short|Long,2.636953|-1.952350,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | Short qty floored 4.439315 → 4 (Alpaca integer rule). | fill_diag: close=225.2600 H=229.0000 L=225.0100 range=1.771% | session_exit=eod || Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | fill_diag: close=221.2400 H=221.8300 L=219.1400 range=1.216% | session_exit=eod
MRVL,2024-12-04,amc,5.53,20.60699588477366,0.4385146482552615,0.0093300988990296,continuation,7.122,0.0,11.225,1,Long,7.202164,Entry: Long @ 107.1900 (signal-bar close) | regime=earnings_continuation_long | SL=102.9024 | TP=none | fill_diag: close=107.1900 H=107.2000 L=107.1900 range=0.009% | session_exit=eod | Session-close exit
TEAM,2025-01-31,amc,66.39,22.66245249651955,-0.6144971156257784,-1.1161274140958133,continuation,-0.971,-0.971,-11.225,1,Long,-0.890964,Entry: Long @ 315.4000 (signal-bar close) | regime=earnings_continuation_long | SL=302.7840 | TP=none | fill_diag: close=315.4000 H=316.4700 L=315.0600 range=0.447% | session_exit=eod | Session-close exit
AXON,2025-02-26,amc,48.21,23.45727198027938,0.0,-0.5172413793103403,continuation,0.861,0.0,11.225,1,Long,0.941075,Entry: Long @ 577.0000 (signal-bar close) | regime=earnings_continuation_long | SL=553.9200 | TP=none | fill_diag: close=577.0000 H=577.0000 L=577.0000 range=0.000% | session_exit=eod | Session-close exit
MCHP,2025-05-09,amc,5.3,16.780609073958974,0.4814172925091453,1.521278644328894,failed_reclaim,0.805,0.0,11.225,1,Short,0.915546,Entry: Short @ 53.5200 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=56.7082 | TP=none | Short qty floored 18.684604 → 18 (Alpaca integer rule). | fill_diag: close=53.5200 H=53.7600 L=53.2700 range=0.916% | session_exit=eod | Session-close exit
APLD,2025-07-31,amc,85.94,38.89986564451118,2.0900321543408262,1.12540192926045,wave_robust,2.256,-4.703,1.9176,2,Short|Long,-4.638388|7.382812,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_robust_short | SL=12.8768 | TP=none | Short qty floored 81.261173 → 81 (Alpaca integer rule). | fill_diag: close=12.3060 H=12.8000 L=12.2000 range=4.876% | session_exit=eod || Entry: Long @ 12.8000 (signal-bar close) | regime=earnings_wave_robust_long | SL=12.1965 | TP=none | fill_diag: close=12.8000 H=13.0500 L=12.7600 range=2.266% | session_exit=eod
IDXX,2025-08-04,bmo,9.97,28.065212536291217,0.0,0.0,wave_best,1.133,-0.738,3.7198,2,Short|Long,-1.053805|1.964147,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | Short qty floored 1.537279 → 1 (Alpaca integer rule). | fill_diag: close=650.5000 H=653.0700 L=649.1500 range=0.603% | session_exit=eod || Entry: Long @ 656.0100 (signal-bar close) | regime=earnings_wave_long | SL=646.1698 | TP=none | fill_diag: close=656.0100 H=657.9050 L=655.7100 range=0.335% | session_exit=eod
