variant,symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,short_return_pct,long_return_pct,short_entry_time,short_exit_time,long_entry_time,long_exit_time,short_outcome,long_outcome
wave_sequence_best_return,MU,2024-09-26,amc,5.88,20.779083306869907,-1.566,-1.566,-9.1652,1,-1.4861803352967835,,2024-09-26T13:35:00,2024-09-26T13:45:00,,,Counter-signal exit,
wave_sequence_best_return,RBLX,2024-10-31,bmo,4.3,24.64504213321021,6.444,0.0,11.0345,2,2.4624624624624705,4.141737032569357,2024-10-31T13:30:00,2024-10-31T13:40:00,2024-10-31T13:43:00,2024-10-31T14:03:00,Counter-signal exit,Counter-signal exit
wave_sequence_best_return,TEAM,2024-11-01,amc,19.01,23.28608315329081,0.525,-1.982,1.1328,2,2.6369528544792677,-1.9523503887181448,2024-11-01T13:28:00,2024-11-01T13:38:00,2024-11-01T13:39:00,2024-11-01T13:53:00,Counter-signal exit,SL hit
wave_sequence_best_return,APP,2025-05-08,amc,21.79,20.761087943813216,-0.983,-2.07,-2.6402,2,-1.9902020820575592,1.1899791053224529,2025-05-08T13:48:00,2025-05-08T13:58:00,2025-05-08T13:59:00,2025-05-08T14:11:00,Counter-signal exit,Counter-signal exit
wave_sequence_best_return,IDXX,2025-08-04,bmo,9.97,28.065212536291217,0.729,-1.134,2.1924,2,-1.0538047655649527,1.9641468880047548,2025-08-04T13:59:00,2025-08-04T14:09:00,2025-08-04T14:10:00,2025-08-04T14:30:00,Counter-signal exit,Counter-signal exit
wave_sequence_best_return,APLD,2025-10-10,amc,80.65,38.79111900532859,-2.339,-2.339,-10.1725,2,-0.5976556230498554,-1.592926565874718,2025-10-10T13:11:00,2025-10-10T13:21:00,2025-10-10T13:27:00,2025-10-10T13:30:00,Counter-signal exit,SL hit
wave_sequence_best_return,AXON,2026-02-25,amc,34.51,27.47722260072287,0.512,-1.548,1.3343,2,2.1720226095893134,-1.5000000000000004,2026-02-25T13:56:00,2026-02-25T14:06:00,2026-02-25T14:07:00,2026-02-25T14:13:00,Counter-signal exit,SL hit
wave_sequence_best_return,INTC,2026-04-24,amc,2108.68,28.92403192432753,-1.059,-1.572,-4.2,2,0.6014273107470315,-1.4999999999999993,2026-04-24T13:01:00,2026-04-24T13:11:00,2026-04-24T13:21:00,2026-04-24T13:25:00,Counter-signal exit,SL hit
wave_sequence_best_return,STX,2026-04-29,amc,16.56,22.28070175438597,3.582,-0.155,6.7297,2,-0.07524454477050413,3.8226244343891476,2026-04-29T13:02:00,2026-04-29T13:12:00,2026-04-29T13:22:00,2026-04-29T13:42:00,Counter-signal exit,Counter-signal exit
wave_sequence_robust,MU,2024-09-26,amc,5.88,20.779083306869907,-0.111,-0.905,-0.5459,2,-0.8246488445854199,0.880857246640028,2024-09-26T13:35:00,2024-09-26T13:38:00,2024-09-26T13:39:00,2024-09-26T13:59:00,Counter-signal exit,Counter-signal exit
