variant,params_json,overall_compounded_return_pct,overall_triggered_events,overall_total_trades,overall_win_rate_pct,overall_max_drawdown_pct,branch,branch_events,branch_compounded_return_pct,branch_mean_return_pct,branch_win_rate_pct
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.25}}",181.15292366758044,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.741053737485835,1.1572,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.5}}",181.15292366758044,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.741053737485835,1.1572,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.0}}",180.0591633617938,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.329692668351571,1.0798,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.25}}",180.0591633617938,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.329692668351571,1.0798,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.5}}",180.0591633617938,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.329692668351571,1.0798,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.0}}",179.93587071067955,36,42,77.77777777777779,-4.178797599999983,wave_best,5,5.2833225482161295,1.0704000000000002,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.25}}",177.53216095439765,36,42,75.0,-4.178797600000006,wave_best,5,4.3792921038845245,0.8982000000000001,20.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.5}}",177.53216095439765,36,42,75.0,-4.178797600000006,wave_best,5,4.3792921038845245,0.8982000000000001,20.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.0}}",176.4524863870081,36,42,75.0,-4.178797599999995,wave_best,5,3.9732286528627148,0.8208,20.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.25}}",176.4524863870081,36,42,75.0,-4.178797599999995,wave_best,5,3.9732286528627148,0.8208,20.0
positive|wave_best_long_entry_min_close_from_open_pct=0p5|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.5, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.5}}",176.4524863870081,36,42,75.0,-4.178797599999995,wave_best,5,3.9732286528627148,0.8208,20.0
