regime,entry_bucket_30m,trades,total_pnl,avg_pnl,median_pnl,avg_return_pct,median_return_pct,win_rate_pct,avg_hold_minutes,expectancy_score
spike_momentum_long,09:00,1,265.9180866578086,265.9180866578086,265.9180866578086,26.671808665780862,26.671808665780862,100.0,110929.0,26.671808665780862
spike_momentum_long,06:00,1,86.6569567183198,86.6569567183198,86.6569567183198,8.74569567183198,8.74569567183198,100.0,75093.0,8.74569567183198
spike_momentum_long,12:00,1,83.99167223454577,83.99167223454577,83.99167223454577,8.479167223454576,8.479167223454576,100.0,57399.0,8.479167223454576
spike_momentum_long,08:30,1,66.70950164410466,66.70950164410466,66.70950164410466,6.750950164410466,6.750950164410466,100.0,79128.0,6.750950164410466
spike_momentum_long,10:00,3,223.19314550726463,74.39771516908822,17.39234152891593,7.519771516908821,1.8192341528915932,66.66666666666666,18354.333333333332,5.013181011272546
spike_momentum_long,09:30,4,135.95393434594288,33.98848358648572,21.359285972518414,3.4788483586485723,2.2159285972518417,50.0,20046.25,1.7394241793242862
intraday_pullback_short,04:30,2,12.677240000000022,6.338620000000011,6.338620000000011,0.8132653061224503,0.8132653061224503,100.0,132.0,0.8132653061224503
spike_momentum_long,04:00,2,24.60704524436337,12.303522622181685,12.303522622181685,1.310278197834901,1.310278197834901,50.0,13839.5,0.6551390989174505
spike_momentum_long,08:00,3,26.760394866536867,8.920131622178955,8.85225433526011,0.9720131622178956,0.9652254335260111,66.66666666666666,8015.0,0.6480087748119302
cascade_breakdown_short,09:00,1,4.296601920000148,4.296601920000148,4.296601920000148,0.5934270469318603,0.5934270469318603,100.0,3.0,0.5934270469318603
rsi_flush_rebound_long,08:00,1,4.199999999999881,4.199999999999881,4.199999999999881,0.49999999999998807,0.49999999999998807,100.0,1.0,0.49999999999998807
intraday_pullback_short,08:30,1,2.361441919999996,2.361441919999996,2.361441919999996,0.32823377248087204,0.32823377248087204,100.0,29.0,0.32823377248087204
spike_momentum_long,04:30,2,7.9052767393390955,3.9526383696695477,3.9526383696695477,0.47526383696695484,0.47526383696695484,50.0,2351.5,0.23763191848347742
shock_rebound_long,08:00,16,50.396506062623175,3.1497816289139484,0.9647187985549565,0.39526305168300274,0.17647187985549564,56.25,1490.3125,0.22233546657168904
intraday_pullback_short,08:00,2,2.575663999999973,1.2878319999999865,1.2878319999999865,0.29999999999999843,0.29999999999999843,50.0,14.0,0.14999999999999922
spike_momentum_long,14:30,1,-0.30927582806862247,-0.30927582806862247,-0.30927582806862247,0.04907241719313776,0.04907241719313776,0.0,14175.0,0.0
intraday_pullback_short,09:00,1,-2.410960000000071,-2.410960000000071,-2.410960000000071,-0.2070874017623328,-0.2070874017623328,0.0,11.0,-0.0
shock_rebound_long,16:00,1,-4.627411781302172,-4.627411781302172,-4.627411781302172,-0.3827411781302172,-0.3827411781302172,0.0,30.0,-0.0
shock_rebound_long,18:30,1,-9.200428165867766,-9.200428165867766,-9.200428165867766,-0.8400428165867766,-0.8400428165867766,0.0,633.0,-0.0
spike_momentum_long,07:00,1,-12.79999999999997,-12.79999999999997,-12.79999999999997,-1.199999999999997,-1.199999999999997,0.0,41.0,-0.0
spike_momentum_long,11:30,1,-12.800000000000042,-12.800000000000042,-12.800000000000042,-1.2000000000000042,-1.2000000000000042,0.0,1134.0,-0.0
spike_momentum_long,11:00,1,-12.800000000000056,-12.800000000000056,-12.800000000000056,-1.2000000000000055,-1.2000000000000055,0.0,1071.0,-0.0
spike_momentum_long,10:30,1,-12.800000000000075,-12.800000000000075,-12.800000000000075,-1.2000000000000075,-1.2000000000000075,0.0,5839.0,-0.0
shock_reversal_short,08:00,3,-12.17771504000002,-4.059238346666674,-7.502881759999982,-0.3961469939910023,-0.7999999999999979,33.33333333333333,20.333333333333332,-0.13204899799700073
spike_momentum_long,07:30,2,-9.52204693092939,-4.761023465464695,-4.761023465464695,-0.3961023465464695,-0.3961023465464695,50.0,4339.5,-0.19805117327323474
