variant,trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,long_trades,short_trades
continuation_5m_gap4,120,46.666666666666664,0.4426707374642404,-0.3112890201336094,45.00902490212524,95,25
continuation_5m_gap2,189,44.97354497354497,0.2888254638750689,-0.5651124980332489,33.87364368817871,148,41
continuation_15m_gap4,118,48.30508474576271,0.31549159135062,-0.28356804058852214,22.764629274630256,90,28
continuation_5m_gap6,82,45.1219512195122,0.270948163973437,-0.4514357965786808,14.599486501463431,68,14
continuation_30m_gap4,112,44.642857142857146,0.23690242856944504,-0.365784111856321,11.729034275840089,90,22
continuation_15m_gap6,83,48.19277108433735,0.13384704127822877,-0.24567648082951532,1.6890519626728384,66,17
fade_30m_gap8,39,64.1025641025641,0.01901670124000926,1.1960193554277354,-4.051458956544263,6,33
fade_5m_gap8,50,64.0,0.04589682509656595,1.0768824099631535,-4.49675836215031,7,43
continuation_15m_gap2,178,44.9438202247191,0.11575126397440336,-0.5699641886609597,-4.812073316108123,134,44
continuation_5m_gap8,46,34.78260869565217,-0.18673334587193247,-0.9812796616504749,-12.414233689004517,40,6
fade_15m_gap8,43,60.46511627906976,-0.349249230393476,1.2434217315034468,-18.702689237006265,5,38
continuation_30m_gap6,81,41.9753086419753,-0.19393506106412267,-0.4817426516791068,-21.561693490418765,69,12
continuation_30m_gap8,49,36.734693877551024,-0.49715397604993355,-0.6500325854203459,-25.427644635676284,43,6
continuation_15m_gap8,49,38.775510204081634,-0.5470971741668942,-0.7353991729565745,-27.689918246544988,40,9
fade_5m_gap2,184,54.347826086956516,-0.06842118366240112,0.27339746037460255,-32.14587624474178,34,150
continuation_30m_gap2,175,42.857142857142854,-0.0687362442323997,-0.49701223560656427,-35.32061444681203,138,37
fade_5m_gap6,82,54.87804878048781,-0.4256896604585162,0.22437523381774738,-36.3631403721525,14,68
fade_30m_gap6,66,45.45454545454545,-0.744336695401632,-0.1788455108697795,-43.13404706169395,12,54
fade_15m_gap6,73,47.94520547945205,-0.6666355447071857,-0.022500984418072356,-43.69797199448846,11,62
fade_30m_gap2,156,50.0,-0.3708971757783948,0.0027113981225179717,-52.8275426340856,29,127
fade_15m_gap2,174,50.0,-0.31160420064156324,0.008894293722028213,-54.58252989766918,30,144
fade_30m_gap4,95,46.31578947368421,-0.7774239214195419,-0.1831501831501714,-57.85747918235559,16,79
fade_5m_gap4,114,52.63157894736842,-0.6262355417615839,0.16058112955790182,-58.44249463565032,20,94
fade_15m_gap4,105,46.666666666666664,-0.8769674791242427,-0.08354218880533004,-65.63361132180975,17,88
