symbol,reaction_date,timing,surprise_pct,gap_pct,peak_vs_prev_close_pct,short_entry_time,short_entry_px,short_exit_time,short_exit_px,short_exit_reason,short_return_pct,long_entry_time,long_entry_px,long_entry_reason,long_exit_time,long_exit_px,long_exit_reason,long_return_pct,event_return_pct,total_trades,label_match,variant
MU,2024-09-26,amc,5.88,16.544934899968244,20.779083306869907,2024-09-26T13:35:00,110.35,2024-09-26T13:45:00,111.99,time_10,-1.486180335296794,,,,,,,,-1.486180335296794,1,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
RBLX,2024-10-31,bmo,4.3,0.6579706799030527,24.64504213321021,2024-10-31T13:30:00,49.95,2024-10-31T13:40:00,48.72,time_10,2.462462462462467,2024-10-31T13:43:00,49.74,ema_turn,2024-10-31T14:03:00,51.8001,ema_roll_timeout,4.141737032569348,6.706188214752751,2,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
TEAM,2024-11-01,amc,19.01,19.328661010697147,23.28608315329081,2024-11-01T13:28:00,225.26,2024-11-01T13:38:00,219.32,time_10,2.6369528544792686,2024-11-01T13:39:00,221.24,ema_turn,2024-11-01T13:59:00,217.41,ema_roll_timeout,-1.7311516904718882,0.8601515100901125,2,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
APP,2025-05-08,amc,21.79,17.431750265908065,20.761087943813216,2025-05-08T13:48:00,342.93,2025-05-08T13:58:00,349.755,time_10,-1.9902020820575572,2025-05-08T13:59:00,350.8549,ema_turn,2025-05-08T14:11:00,355.03,ema_roll,1.1899791053224584,-0.8239059656652725,2,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
IDXX,2025-08-04,bmo,9.97,4.219087322266057,28.065212536291217,2025-08-04T13:59:00,650.5,2025-08-04T14:09:00,657.355,time_10,-1.0538047655649585,2025-08-04T14:10:00,656.01,ema_turn,2025-08-04T14:30:00,668.895,ema_roll_timeout,1.9641468880047475,0.8896438489313097,2,False,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
APLD,2025-10-10,amc,80.65,31.61634103019537,38.79111900532859,2025-10-10T13:11:00,36.7603,2025-10-10T13:21:00,36.98,time_10,-0.5976556230498531,2025-10-10T13:27:00,37.04,ema_turn,2025-10-10T13:44:00,38.111,ema_roll,2.891468682505405,2.2765320342858386,2,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
AXON,2026-02-25,amc,34.51,18.59490294345201,27.47722260072287,2026-02-25T13:56:00,505.98,2026-02-25T14:06:00,494.99,time_10,2.172022609589308,2026-02-25T14:07:00,496.95,ema_turn,2026-02-25T14:27:00,501.49,ema_roll_timeout,0.9135727940436711,3.1054384112746636,2,False,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
INTC,2026-04-24,amc,2108.68,24.31274017144547,28.92403192432753,2026-04-24T13:01:00,83.4016,2026-04-24T13:11:00,82.9,time_10,0.6014273107470269,2026-04-24T13:21:00,82.79,ema_turn,2026-04-24T13:35:00,83.8,ema_roll,1.2199541007367865,1.8287185486242308,2,False,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
STX,2026-04-29,amc,16.56,19.68596491228072,22.28070175438597,2026-04-29T13:02:00,664.5,2026-04-29T13:12:00,665.0,time_10,-0.07524454477050302,2026-04-29T13:22:00,663.0,ema_turn,2026-04-29T13:42:00,688.344,ema_roll,3.8226244343891436,3.7445035732647014,2,True,wave_pc20_start780_end840_pull3.0_vbreak1.0_bd0.5_sexittime_10_sreb0.5_lentryema_turn_lmom0.00_lexitema_roll_lvwap-0.5_lgain1.0
