symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,selected_branch,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
ZS,2024-05-31,amc,35.94,15.802322306031114,0.0981568328062065,0.0654378885374562,failed_reclaim,4.278,0.0,11.225,1,Short,5.005929,Entry: Short @ 173.7100 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=186.1100 | TP=none | Short qty floored 5.756721 → 5 (Alpaca integer rule). | fill_diag: close=173.7100 H=175.3900 L=173.7000 range=0.973% | session_exit=eod | Session-close exit
RBLX,2024-10-31,bmo,4.3,24.64504213321021,0.0,0.3211009174311829,wave_best,6.442,0.0,11.0325,2,Short|Long,2.462462|4.141737,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | Short qty floored 20.020020 → 20 (Alpaca integer rule). | fill_diag: close=49.9500 H=51.1500 L=49.4900 range=3.323% | session_exit=eod || Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | fill_diag: close=49.7400 H=49.9700 L=49.4500 range=1.045% | session_exit=eod
TEAM,2024-11-01,amc,19.01,23.28608315329081,0.0,0.0,wave_best,0.272,-1.987,0.6631,2,Short|Long,2.636953|-1.952350,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | Short qty floored 4.439315 → 4 (Alpaca integer rule). | fill_diag: close=225.2600 H=229.0000 L=225.0100 range=1.771% | session_exit=eod || Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | fill_diag: close=221.2400 H=221.8300 L=219.1400 range=1.216% | session_exit=eod
MCHP,2025-05-09,amc,5.3,16.780609073958974,0.4814172925091453,1.521278644328894,failed_reclaim,0.805,0.0,11.225,1,Short,0.915546,Entry: Short @ 53.5200 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=56.7082 | TP=none | Short qty floored 18.684604 → 18 (Alpaca integer rule). | fill_diag: close=53.5200 H=53.7600 L=53.2700 range=0.916% | session_exit=eod | Session-close exit
APLD,2025-07-31,amc,85.94,38.89986564451118,2.0900321543408262,1.12540192926045,wave_robust,2.256,-4.703,1.9176,2,Short|Long,-4.638388|7.382812,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_robust_short | SL=12.8768 | TP=none | Short qty floored 81.261173 → 81 (Alpaca integer rule). | fill_diag: close=12.3060 H=12.8000 L=12.2000 range=4.876% | session_exit=eod || Entry: Long @ 12.8000 (signal-bar close) | regime=earnings_wave_robust_long | SL=12.1965 | TP=none | fill_diag: close=12.8000 H=13.0500 L=12.7600 range=2.266% | session_exit=eod
IDXX,2025-08-04,bmo,9.97,28.065212536291217,0.0,0.0,wave_best,1.133,-0.738,3.7198,2,Short|Long,-1.053805|1.964147,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | Short qty floored 1.537279 → 1 (Alpaca integer rule). | fill_diag: close=650.5000 H=653.0700 L=649.1500 range=0.603% | session_exit=eod || Entry: Long @ 656.0100 (signal-bar close) | regime=earnings_wave_long | SL=646.1698 | TP=none | fill_diag: close=656.0100 H=657.9050 L=655.7100 range=0.335% | session_exit=eod
DDOG,2025-08-07,bmo,12.84,15.330530858226998,0.2048430755724695,0.5047918648035665,failed_reclaim,5.799,0.0,11.225,1,Short,6.810585,Entry: Short @ 143.6000 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=155.9401 | TP=none | Short qty floored 6.963788 → 6 (Alpaca integer rule). | fill_diag: close=143.6000 H=145.0000 L=143.6000 range=0.975% | session_exit=eod | Session-close exit
AVGO,2025-09-05,amc,1.6,17.222827342641178,0.1210104371502041,0.4840417486008164,failed_reclaim,1.476,0.0,11.225,1,Short,2.251523,Entry: Short @ 339.7700 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=357.2809 | TP=none | Short qty floored 2.943167 → 2 (Alpaca integer rule). | fill_diag: close=339.7700 H=341.7300 L=339.4300 range=0.677% | session_exit=eod | Session-close exit
APLD,2025-10-10,amc,80.65,38.79111900532859,-0.9986504723346724,-2.213225371120109,short_only,3.661,0.0,9.1652,1,Short,3.768468,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_short_only_short | SL=38.9825 | TP=none | Short qty floored 27.203260 → 27 (Alpaca integer rule). | fill_diag: close=36.7603 H=37.0500 L=36.7600 range=0.789% | session_exit=eod
PYPL,2025-10-28,bmo,14.47,16.645344705046217,-0.1988071570576566,-0.1562056234024389,failed_reclaim,0.598,0.0,11.225,1,Short,0.722115,Entry: Short @ 77.5500 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=82.5524 | TP=none | Short qty floored 12.894907 → 12 (Alpaca integer rule). | fill_diag: close=77.5500 H=77.6800 L=77.3000 range=0.490% | session_exit=eod | Session-close exit
