date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct,direction,entry_price,exit_price,gross_return_pct,return_pct,basket_gap_pct,qqq_signal_gap_pct,dislocation_pct
2024-08-05,74,10,-3.9066759066017043,-3.909972576324894,0.12162162162162163,0.8783783783783784,-6.0903174346217535,445.42,426.77,426.78,-4.187059404606897,-4.184814332540087,424.42,426.06,426.26,433.43,0.2803834980051927,0.278138425938383,-1.9032580300148565,-1.9055031020816662,0.27708682828200315,0.27484175621519347,1,426.78,433.43,1.558179858475106,1.478179858475106,-3.909972576324894,-4.187059404606897,0.27708682828200315
2025-01-27,74,10,-2.9797494327054372,-2.3746347976391027,0.12162162162162163,0.8783783783783784,-4.148245287210393,528.55,509.6,509.54,-3.5852804843439445,-3.596632295903879,509.49,508.73,502.32,512.06,0.6055310516385073,0.6168828631984415,-0.5629648028664489,-0.5516129913065146,1.2106456867048419,1.221997498264776,1,509.54,512.06,0.4945637241433376,0.4145637241433376,-2.3746347976391027,-3.5852804843439445,1.2106456867048419
2025-04-03,77,10,-2.519020076686742,-2.541966426858522,0.07792207792207792,0.922077922077922,-3.3484725796732606,471.9,457.85,457.93,-2.9773257045984214,-2.960372960372959,457.12,456.97,455.69,453.89,0.4583056279116793,0.44135288368621683,-0.37114687507483923,-0.3880996193003017,0.4353592777398996,0.41840653351443713,1,457.93,453.89,-0.8822309086541691,-0.962230908654169,-2.541966426858522,-2.9773257045984214,0.4353592777398996
2025-04-07,87,10,-6.189371590107334,-6.257489016109707,0.0,1.0,-6.259812664251038,429.83,404.3,404.03,-5.939557499476534,-6.002373031198383,406.17,405.48,410.58,417.54,-0.2498140906308004,-0.18699855890895112,-0.32025516477450466,-0.2574396330526554,-0.3179315166331733,-0.25511598491132403,-1,404.03,417.54,-3.3438111031359075,-3.4238111031359075,-6.257489016109707,-5.939557499476534,-0.3179315166331733
2025-04-16,74,9,-1.4087869731321265,-1.1266915792697507,0.14864864864864866,0.8513513513513513,-2.538007933771347,457.89,450.38,450.37,-1.6401319094105582,-1.6423158400489135,449.99,449.29,449.37,446.94,0.23134493627843167,0.23352886691678698,-0.8978760243607886,-0.8956920937224333,0.5134403301408075,0.5156242607791628,1,450.37,446.94,-0.76159602104936,-0.8415960210493599,-1.1266915792697507,-1.6401319094105582,0.5134403301408075
2025-05-12,83,10,2.879281914526362,2.9355456285896864,0.8313253012048193,0.1686746987951807,4.852865759881182,486.39,504.16,504.16,3.653446822508699,3.653446822508699,504.07,504.2,505.39,500.86,-0.7741649079823372,-0.7741649079823372,1.1994189373724833,1.1994189373724833,-0.7179011939190127,-0.7179011939190127,-1,504.16,500.86,0.6545541098064156,0.5745541098064156,2.9355456285896864,3.653446822508699,-0.7179011939190127
2025-11-10,70,9,2.7988066747827656,2.577084632110571,0.8142857142857143,0.17142857142857143,3.263830969619545,600.51,617.43,617.44,2.817605035719639,2.8192702869227926,617.43,617.73,617.13,616.5,-0.018798360936873593,-0.02046361214002701,0.44622593389990595,0.44456068269675253,-0.240520403609068,-0.24218565481222143,-1,617.44,616.5,0.15224151334543023,0.07224151334543023,2.577084632110571,2.817605035719639,-0.240520403609068
2026-01-20,76,10,-1.91998566495017,-1.6243808397458759,0.14473684210526316,0.8552631578947368,-2.4766665721060077,620.3,607.38,607.22,-2.0828631307431844,-2.1086571014025335,607.17,607.12,608.49,613.02,0.16287746579301432,0.1886714364523634,-0.3938034413628233,-0.36800947070347423,0.45848229099730853,0.4842762616566576,1,607.22,613.02,0.9551727545205946,0.8751727545205946,-1.6243808397458759,-2.0828631307431844,0.45848229099730853
2026-03-02,74,10,-0.8781125034191369,-0.9563838698097404,0.2702702702702703,0.7297297297297297,-1.848275294420564,606.29,598.0,598.01,-1.3673324646621188,-1.365683088950831,597.89,597.97,598.58,604.49,0.48921996124298184,0.48757058553169397,-0.48094282975844527,-0.48259220546973314,0.41094859485237833,0.40929921914109046,1,598.01,604.49,1.083593919834125,1.0035939198341248,-0.9563838698097404,-1.3673324646621188,0.41094859485237833
2026-03-09,78,10,-1.6282838789178833,-1.5402584147846898,0.14102564102564102,0.8589743589743589,-1.8844057735006536,604.13,592.98,592.97,-1.8456292519821837,-1.8472845248539205,594.64,593.18,592.07,598.35,0.21734537306430046,0.21900064593603719,-0.038776521518469886,-0.03712124864673316,0.3053708371974939,0.30702611006923064,1,592.97,598.35,0.9072971651179706,0.8272971651179707,-1.5402584147846898,-1.8456292519821837,0.3053708371974939
