horizon_days,observations,gap_future_corr,directional_hit_pct,undervalued_quintile_mean_fwd_pct,overvalued_quintile_mean_fwd_pct,quintile_spread_pct
1,3646,0.03237779857250656,50.30170049369171,0.0762454211466449,-0.01094202375136773,0.08718744489801263
3,3644,0.062451539630643794,50.49396267837542,0.2576180039227012,-0.06535392246244408,0.32297192638514527
5,3642,0.08470630986521054,51.75727622185612,0.4506115014955332,-0.10951235935334326,0.5601238608488764
10,3637,0.11849887384345466,51.74594445971955,0.823510130205319,-0.24357842254428944,1.0670885527496086
