variant,branch_type,symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,outcome,notes
short_only_tight_sexittime_10_sreb0.5,short_only,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:45:00,110.35,111.99,-1.4861803352967835,-15.661803352967837,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:40:00,49.95,48.72,2.4624624624624705,23.8246246246247,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:38:00,225.26,219.32,2.6369528544792677,25.56952854479268,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:58:00,342.93,349.755,-1.9902020820575592,-20.702020820575594,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,IDXX,2025-08-04,1,Short,2025-08-04T13:59:00,2025-08-04T14:09:00,650.5,657.355,-1.0538047655649527,-11.338047655649529,Counter-signal exit,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,APLD,2025-10-10,1,Short,2025-10-10T13:11:00,2025-10-10T13:21:00,36.7603,36.98,-0.5976556230498554,-6.776556230498554,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_wave_short | SL=38.9825 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,AXON,2026-02-25,1,Short,2026-02-25T13:56:00,2026-02-25T14:06:00,505.98,494.99,2.1720226095893134,20.920226095893135,Counter-signal exit,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,INTC,2026-04-24,1,Short,2026-04-24T13:01:00,2026-04-24T13:11:00,83.4016,82.9,0.6014273107470315,5.214273107470315,Counter-signal exit,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_short | SL=87.7534 | TP=none | session_exit=eod
short_only_tight_sexittime_10_sreb0.5,short_only,STX,2026-04-29,1,Short,2026-04-29T13:02:00,2026-04-29T13:12:00,664.5,665.0,-0.07524454477050413,-1.5524454477050413,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | session_exit=eod
short_only_tight_sexittime_20_sreb0.5,short_only,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:55:00,110.35,110.73,-0.3443588581785317,-4.243588581785317,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
short_only_tight_sexittime_20_sreb0.5,short_only,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:50:00,49.95,49.99,-0.08008008008007837,-1.600800800800784,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
