label,events,total_trades,win_rate_pct,mean_event_return_pct,median_event_return_pct,compounded_event_return_pct,max_drawdown_pct,branch_counts,params
wb_openNone_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.0,13,18,84.61538461538461,1.8057692307692306,1.133,25.552380083813574,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_openNone_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.25,13,18,84.61538461538461,1.8057692307692306,1.133,25.552380083813574,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.25}"
wb_openNone_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.5,13,18,84.61538461538461,1.8057692307692306,1.133,25.552380083813574,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.5}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.0_wr_mom0.0,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.0_wr_mom0.25,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.25}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.0_wr_mom0.5,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.5}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.0,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.25,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.25}"
wb_open0.0_wb_mom0.0_wr_modenext_bar_wr_open0.25_wr_mom0.5,13,18,84.61538461538461,1.7956153846153844,1.001,25.388507617150236,-4.7029999999999905,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'next_bar', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.5}"
wb_open0.25_wb_mom0.0_wr_modeema_turn_wr_open0.0_wr_mom0.0,13,19,76.92307692307693,1.7690769230769225,0.598,25.18230368956411,-0.7070000000000021,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.25, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.25_wb_mom0.0_wr_modeema_turn_wr_open0.25_wr_mom0.0,13,19,76.92307692307693,1.7690769230769225,0.598,25.18230368956411,-0.7070000000000021,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.25, 'wave_best_long_momentum_min': 0.0, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_openNone_wb_mom0.5_wr_modeema_turn_wr_open0.0_wr_mom0.0,13,19,69.23076923076923,1.747153846153846,0.805,24.81830673324272,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.5, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.0}"
wb_openNone_wb_mom0.5_wr_modeema_turn_wr_open0.25_wr_mom0.0,13,19,69.23076923076923,1.747153846153846,0.805,24.81830673324272,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.5, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.25_wr_modeema_turn_wr_open0.0_wr_mom0.0,13,19,69.23076923076923,1.7369999999999997,0.805,24.655392387887677,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.25_wr_modeema_turn_wr_open0.25_wr_mom0.0,13,19,69.23076923076923,1.7369999999999997,0.805,24.655392387887677,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.5_wr_modeema_turn_wr_open0.0_wr_mom0.0,13,19,69.23076923076923,1.7369999999999997,0.805,24.655392387887677,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.5, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.0}"
wb_open0.0_wb_mom0.5_wr_modeema_turn_wr_open0.25_wr_mom0.0,13,19,69.23076923076923,1.7369999999999997,0.805,24.655392387887677,-0.7070000000000132,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': 0.0, 'wave_best_long_momentum_min': 0.5, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.0}"
wb_openNone_wb_mom0.25_wr_modeema_turn_wr_open0.0_wr_mom0.25,13,19,69.23076923076923,1.7047692307692306,0.805,24.126854015959353,-1.7374743456222919,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.25}"
wb_openNone_wb_mom0.25_wr_modeema_turn_wr_open0.0_wr_mom0.5,13,19,69.23076923076923,1.7047692307692306,0.805,24.126854015959353,-1.7374743456222919,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.0, 'wave_robust_long_momentum_min': 0.5}"
wb_openNone_wb_mom0.25_wr_modeema_turn_wr_open0.25_wr_mom0.25,13,19,69.23076923076923,1.7047692307692306,0.805,24.126854015959353,-1.7374743456222919,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.25}"
wb_openNone_wb_mom0.25_wr_modeema_turn_wr_open0.25_wr_mom0.5,13,19,69.23076923076923,1.7047692307692306,0.805,24.126854015959353,-1.7374743456222919,"{'failed_reclaim': 5, 'wave_best': 5, 'wave_robust': 2, 'short_only': 1}","{'wave_best_long_entry_min_close_from_open_pct': None, 'wave_best_long_momentum_min': 0.25, 'wave_robust_long_entry_mode': 'ema_turn', 'wave_robust_long_entry_min_close_from_open_pct': 0.25, 'wave_robust_long_momentum_min': 0.5}"
