rule_name,family,side,stop_loss_pct,trail_pct,trail_activation_pct,signals,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,score
apld_btc_confirm_short,close_only,short,,,,34,73.52941176470588,2.6019963358878138,3.105262950654425,126.8222326532499,138.03110951002282
apld_btc_confirm_short,stop_eod,short,2.5,,,34,55.88235294117647,1.997788583055421,1.7927233439049617,88.6105980831738,98.38375154599221
apld_btc_confirm_short,stop_eod,short,3.0,,,34,58.82352941176471,1.8846975712791627,1.7927233439049617,81.22004914578041,90.91180138505209
apld_btc_confirm_short,trail_eod,short,,2.5,2.0,34,76.47058823529412,1.6045090935145703,1.9416849929427271,67.12260446577596,76.92348575310665
apld_btc_confirm_short,stop_eod,short,2.0,,,34,44.11764705882353,1.6397745447754886,-2.0000000000000018,67.56551518180007,76.44870641072801
apld_btc_confirm_short,stop_eod,short,1.25,,,34,35.294117647058826,1.462856519162391,-1.2499999999999956,58.86351764854274,67.2166259566981
apld_btc_confirm_short,trail_eod,short,,2.5,1.5,34,67.64705882352942,1.42919752823933,1.3879139030202714,57.87929708764488,67.15250514470975
apld_btc_confirm_short,trail_eod,short,,3.0,2.0,34,67.64705882352942,1.3160334861813272,1.4633517490058534,51.74294334332088,60.846405337298755
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.5,1.5,34,55.88235294117647,1.2714345825755848,0.7838207898450467,51.29893632889151,59.98255879099018
apld_btc_confirm_short,stop_eod,short,0.75,,,34,26.47058823529412,1.3163064132116742,-0.7500000000000062,51.83652690600689,59.705104172883225
apld_btc_confirm_short,stop_eod,short,1.5,,,34,35.294117647058826,1.3010918132800413,-1.4999999999999902,50.2467031525824,58.35716440191423
apld_btc_confirm_short,trail_eod,short,,1.5,2.0,34,85.29411764705883,1.2188909106914119,1.4694963012856943,47.77213966117528,57.259299556624164
apld_btc_confirm_short,trail_eod,short,,3.0,1.0,34,55.88235294117647,1.21563912175884,0.8836452267224904,47.321642642879254,55.921571913752814
apld_btc_confirm_short,stop_trail_eod,short,2.0,2.5,1.5,34,50.0,1.1171704664632387,0.060459318653444116,43.763284394875534,52.039040094570396
apld_btc_confirm_short,trail_eod,short,,1.25,2.0,34,85.29411764705883,1.108428710809831,1.6885306041465487,42.59140824479466,51.912874840421175
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.5,0.75,34,50.0,1.0807561275711175,0.060459318653444116,42.40221983621346,50.62335402757014
apld_btc_confirm_short,trail_eod,short,,2.0,2.0,34,85.29411764705883,1.082966541900851,1.36511774600504,41.09852169400852,50.38179503627156
apld_btc_confirm_short,stop_eod,short,1.0,,,34,26.47058823529412,1.132482883799914,-1.0000000000000009,42.55854043256488,50.15138240532358
apld_btc_confirm_short,trail_eod,short,,3.0,1.5,34,58.82352941176471,1.0970169149779758,0.9068793366935335,41.19877699423318,49.709008249053085
apld_btc_confirm_short,trail_eod,short,,2.5,1.0,34,58.82352941176471,1.0462137793874735,0.4230407019478133,39.76626008886133,48.20028664029548
apld_btc_confirm_short,trail_eod,short,,3.0,0.25,34,47.05882352941176,1.03205041172791,-0.24737884873629046,39.819539723860316,47.879380047334536
apld_btc_confirm_short,trail_eod,short,,1.5,1.5,34,88.23529411764706,1.0185271872742323,1.1369091122382435,38.52002298511712,47.79487258955788
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.5,1.0,34,50.0,1.009869856420672,0.060459318653444116,38.93937994660184,47.05418473123285
apld_btc_confirm_short,trail_eod,short,,2.5,0.25,34,50.0,0.9910086461638749,0.05975245026811904,38.25894646622287,46.34545943546869
apld_btc_confirm_short,stop_trail_eod,short,1.25,2.5,1.5,34,38.23529411764706,0.9842811286673258,-0.7874244620838966,37.61985421025933,45.34333472678973
apld_btc_confirm_short,trail_eod,short,,2.5,0.75,34,55.88235294117647,0.9748744683588927,0.23925891266535215,36.46495991283829,44.703742203611924
apld_btc_confirm_short,stop_trail_eod,short,2.5,1.5,1.5,34,76.47058823529412,0.9268448756631481,0.9618041828531154,35.55681871922902,44.34120367978257
apld_btc_confirm_short,trail_eod,short,,2.0,1.5,34,76.47058823529412,0.9513599825537191,0.8849551024437907,35.315361911039034,44.13651953192844
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.5,0.5,34,47.05882352941176,0.929810176202849,-0.11016052113677066,35.37818410208229,43.28466407226892
apld_btc_confirm_short,stop_trail_eod,short,2.0,2.5,0.25,34,47.05882352941176,0.9152796683959119,-0.11016052113677066,34.70751006753978,42.592194276016
apld_btc_confirm_short,stop_trail_eod,short,2.0,2.5,0.5,34,47.05882352941176,0.9152796683959119,-0.11016052113677066,34.70751006753978,42.592194276016
apld_btc_confirm_short,stop_trail_eod,short,2.0,2.5,0.75,34,47.05882352941176,0.9057449199808562,-0.11016052113677066,34.26302341772669,42.133405503580335
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.5,0.25,34,47.05882352941176,0.9048540016800598,-0.11016052113677066,34.216212583872284,42.08525829227473
apld_btc_confirm_short,stop_trail_eod,short,2.0,2.5,1.0,34,47.05882352941176,0.8976945715185306,-0.11016052113677066,33.88907417403717,41.747380737197325
apld_btc_confirm_short,stop_trail_eod,short,1.5,2.5,1.5,34,38.23529411764706,0.9098002134478715,-0.5627449328756029,34.11901656262366,41.730775706324884
apld_btc_confirm_short,trail_eod,short,,1.25,1.5,34,88.23529411764706,0.8693246239607705,1.2057406257524883,31.97131390843637,41.02235966790694
apld_btc_confirm_short,stop_trail_eod,short,2.0,1.5,1.5,34,70.58823529411765,0.8317946416147445,0.6987456990069363,31.35277744547238,39.818116466718024
apld_btc_confirm_short,stop_trail_eod,short,2.5,2.0,1.5,34,64.70588235294117,0.8382647320526017,0.5662889993345965,31.44944600510373,39.74801957377087
apld_btc_confirm_short,trail_eod,short,,3.0,0.75,34,50.0,0.8366415730876643,-0.06270056292073667,29.93700706212874,37.791969421760236
apld_btc_confirm_short,stop_trail_eod,short,2.5,1.25,1.5,34,76.47058823529412,0.7560054776987059,1.069077711288019,28.222530497535026,36.75065636114191
