regime,entry_bucket_30m,trades,total_pnl,avg_pnl,median_pnl,avg_return_pct,median_return_pct,win_rate_pct,avg_hold_minutes,expectancy_score
event_target_short,12:30,1,16.349279999999887,16.349279999999887,16.349279999999887,1.8278383579217325,1.8278383579217325,100.0,329.0,1.8278383579217325
intraday_pullback_short,08:00,1,8.468544000000005,8.468544000000005,8.468544000000005,1.2000000000000006,1.2000000000000006,100.0,25.0,1.2000000000000006
intraday_pullback_short,04:30,1,9.72271999999998,9.72271999999998,9.72271999999998,1.1999999999999975,1.1999999999999975,100.0,41.0,1.1999999999999975
cascade_breakdown_short,09:00,1,7.6989979199999885,7.6989979199999885,7.6989979199999885,0.9999999999999983,0.9999999999999983,100.0,2.0,0.9999999999999983
rsi_flush_rebound_long,08:00,2,10.400000000000052,5.200000000000026,5.200000000000026,0.6000000000000025,0.6000000000000025,100.0,2.0,0.6000000000000025
intraday_pullback_short,08:30,1,2.361441919999996,2.361441919999996,2.361441919999996,0.32823377248087204,0.32823377248087204,100.0,29.0,0.32823377248087204
intraday_pullback_short,09:00,1,-2.410960000000071,-2.410960000000071,-2.410960000000071,-0.2070874017623328,-0.2070874017623328,0.0,11.0,-0.0
shock_rebound_long,16:00,1,-4.627411781302172,-4.627411781302172,-4.627411781302172,-0.3827411781302172,-0.3827411781302172,0.0,30.0,-0.0
cascade_breakdown_short,04:30,1,-5.854800000000054,-5.854800000000054,-5.854800000000054,-0.6000000000000063,-0.6000000000000063,0.0,6.0,-0.0
shock_reversal_short,08:00,3,-6.981075040000017,-2.327025013333339,-7.502881759999982,-0.20000000000000062,-0.7999999999999979,33.33333333333333,10.666666666666666,-0.06666666666666686
shock_rebound_long,08:00,6,-31.245231003329206,-5.207538500554867,-6.947176329458159,-0.4407538500554868,-0.6147176329458159,16.666666666666664,131.66666666666666,-0.07345897500924778
