id,symbol,direction,entry_price,take_profit,stop_loss,leverage,capital_allocated,entry_time,mode,strategy_id,exit_price,exit_time,outcome,leveraged_return_pct,pnl,notes,counter_signal_min_profit_pct,origin,broker_order_id,broker_status,broker_submitted_at,filled_qty,filled_avg_price,filled_at,last_synced_at,window_label,interval,entry_day
11f46ac3-15bb-4dcd-bc80-249ac5bfd78d,GC=F,Long,2371.39990234375,2391.497103923861,2359.3415813956835,1.0,1000.0,2024-05-10 15:00:00,backtest,vwap_rsi,2369.800048828125,2024-05-10 19:00:00,RSI overbought exit,-0.0674645180698456,-1.474645180698456,Entry: Long @ 2371.3999 (signal-bar close) | regime=normal | SL=2359.3416 | TP=2391.4971 | fill_diag: close=2371.3999 H=2373.1001 L=2363.1001 range=0.422%,,,,,,,,,,60m_730d,60m,2024-05-10
d89b8143-f254-4363-a9ef-ce5afe191c4a,GC=F,Long,2370.300048828125,2386.6730021073386,2360.476276860597,1.0,998.5253548193016,2024-05-13 00:00:00,backtest,vwap_rsi,2365.5,2024-05-13 01:00:00,RSI overbought exit,-0.2025080677232463,-2.8209146856266982,Entry: Long @ 2370.3000 (signal-bar close) | regime=normal | SL=2360.4763 | TP=2386.6730 | fill_diag: close=2370.3000 H=2370.8000 L=2366.1001 range=0.198%,,,,,,,,,,60m_730d,60m,2024-05-13
4e1b3442-aeda-413c-b35c-dd245943ec43,GC=F,Long,2347.39990234375,2360.131039079225,2339.761220302465,1.0,995.7044401336749,2024-05-14 01:00:00,backtest,vwap_rsi,2343.699951171875,2024-05-14 06:00:00,RSI overbought exit,-0.15761912438442216,-2.365984172102451,Entry: Long @ 2347.3999 (signal-bar close) | regime=normal | SL=2339.7612 | TP=2360.1310 | fill_diag: close=2347.3999 H=2347.5000 L=2342.0000 range=0.234%,,,,,,,,,,60m_730d,60m,2024-05-14
beed057d-eec0-44d2-b85e-c6599732ab84,GC=F,Long,2349.39990234375,2361.8584921474294,2341.924748461542,1.0,993.3384559615724,2024-05-14 08:00:00,backtest,vwap_rsi,2361.8584921474294,2024-05-14 14:00:00,TP hit,0.5302881723648136,4.472885578746223,Entry: Long @ 2349.3999 (signal-bar close) | regime=normal | SL=2341.9247 | TP=2361.8585 | fill_diag: close=2349.3999 H=2349.7000 L=2343.3000 range=0.272%,,,,,,,,,,60m_730d,60m,2024-05-14
cf053180-c53a-4292-8cd7-83f6e08747dc,GC=F,Long,2432.800048828125,2453.0650525454344,2420.641046597739,1.0,997.8113415403186,2024-05-21 00:00:00,backtest,vwap_rsi,2424.199951171875,2024-05-21 01:00:00,RSI overbought exit,-0.3535061445100123,-4.325573476195066,Entry: Long @ 2432.8000 (signal-bar close) | regime=normal | SL=2420.6410 | TP=2453.0651 | fill_diag: close=2432.8000 H=2433.7000 L=2428.2000 range=0.226%,,,,,,,,,,60m_730d,60m,2024-05-21
2f74254d-0881-4fc7-af6e-f22231d32df2,GC=F,Long,2370.300048828125,2388.4698727350997,2359.3981544839403,1.0,993.4857680641236,2024-05-23 11:00:00,backtest,vwap_rsi,2364.60009765625,2024-05-23 12:00:00,RSI overbought exit,-0.2404738241765237,-3.183861833564605,Entry: Long @ 2370.3000 (signal-bar close) | regime=normal | SL=2359.3982 | TP=2388.4699 | fill_diag: close=2370.3000 H=2371.6001 L=2367.6001 range=0.169%,,,,,,,,,,60m_730d,60m,2024-05-23
f3b9033b-b481-4359-8a8a-944815967c56,GC=F,Long,2341.800048828125,2356.845775854177,2332.7726126124935,1.0,990.301906230559,2024-05-26 22:00:00,backtest,vwap_rsi,2338.699951171875,2024-05-26 23:00:00,RSI overbought exit,-0.1323809715437208,-2.103212809668448,Entry: Long @ 2341.8000 (signal-bar close) | regime=normal | SL=2332.7726 | TP=2356.8458 | fill_diag: close=2341.8000 H=2342.2000 L=2333.8000 range=0.359%,,,,,,,,,,60m_730d,60m,2024-05-26
8322df52-d492-416c-877c-84cd84c08fe9,GC=F,Long,2347.39990234375,2399.730244453221,2316.001697078067,1.0,988.1986934208904,2024-06-03 00:00:00,backtest,vwap_rsi,2346.60009765625,2024-06-03 02:00:00,RSI overbought exit,-0.034071940051690335,-1.1272574211506654,Entry: Long @ 2347.3999 (signal-bar close) | regime=normal | SL=2316.0017 | TP=2399.7302 | fill_diag: close=2347.3999 H=2347.6001 L=2344.1001 range=0.149%,,,,,,,,,,60m_730d,60m,2024-06-03
b651abea-0365-4c5f-a65c-e01f90fd819a,GC=F,Long,2346.5,2384.377586796106,2323.773447922337,1.0,987.0714359997397,2024-06-03 07:00:00,backtest,vwap_rsi,2370.800048828125,2024-06-04 00:00:00,RSI overbought exit,1.035586994593011,9.432326269755988,Entry: Long @ 2346.5000 (signal-bar close) | regime=normal | SL=2323.7734 | TP=2384.3776 | fill_diag: close=2346.5000 H=2349.5000 L=2342.5000 range=0.298%,,,,,,,,,,60m_730d,60m,2024-06-03
63f5a9b2-c1be-41aa-8e89-242ace1cb171,GC=F,Long,2383.39990234375,2399.9274130167346,2373.4833959399593,1.0,996.5037622694958,2024-06-06 14:00:00,backtest,vwap_rsi,2390.199951171875,2024-06-07 01:00:00,RSI overbought exit,0.2853087650728724,2.0459095682202135,Entry: Long @ 2383.3999 (signal-bar close) | regime=normal | SL=2373.4834 | TP=2399.9274 | fill_diag: close=2383.3999 H=2385.6001 L=2377.0000 range=0.361%,,,,,,,,,,60m_730d,60m,2024-06-06
5565e230-9788-40f8-8921-d3dae5ed6674,GC=F,Long,2331.300048828125,2347.6369987690655,2321.497878863561,1.0,998.549671837716,2024-06-13 06:00:00,backtest,vwap_rsi,2321.497878863561,2024-06-13 11:00:00,SL hit,-0.42045939000822563,-4.997335596608172,Entry: Long @ 2331.3000 (signal-bar close) | regime=normal | SL=2321.4979 | TP=2347.6370 | fill_diag: close=2331.3000 H=2331.8000 L=2326.6001 range=0.223%,,,,,,,,,,60m_730d,60m,2024-06-13
