symbol,direction,regime,entry_time_et,exit_time_et,entry_date_et,entry_weekday,entry_bucket_30m,entry_hour_et,leveraged_return_pct,pnl,hold_minutes,outcome,win
GLD,Long,shock_rebound_long,2024-05-23 08:04:00-04:00,2024-05-23 10:17:00-04:00,2024-05-23,Thursday,08:00,8,-0.9000000000000045,-9.800000000000045,133.0,Trail stop,0.0
GLD,Short,shock_reversal_short,2024-06-07 08:02:00-04:00,2024-06-07 08:03:00-04:00,2024-06-07,Friday,08:00,8,-0.8000000000000002,-7.602897280000002,1.0,Trail stop,0.0
GLD,Short,shock_reversal_short,2024-08-05 08:02:00-04:00,2024-08-05 08:32:00-04:00,2024-08-05,Monday,08:00,8,0.9999999999999962,8.124703999999968,30.0,TP hit,1.0
GLD,Long,shock_rebound_long,2024-08-16 08:01:00-04:00,2024-08-16 10:23:00-04:00,2024-08-16,Friday,08:00,8,0.205688033253106,1.25688033253106,142.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2024-08-20 08:01:00-04:00,2024-08-20 11:07:00-04:00,2024-08-20,Tuesday,08:00,8,-0.6537677247997303,-7.337677247997303,186.0,Trail stop,0.0
GLD,Long,rsi_flush_rebound_long,2024-09-05 08:01:00-04:00,2024-09-05 08:04:00-04:00,2024-09-05,Thursday,08:00,8,0.6000000000000055,5.200000000000056,3.0,TP hit,1.0
GLD,Short,event_target_short,2025-04-22 12:31:00-04:00,2025-04-22 18:00:00-04:00,2025-04-22,Tuesday,12:30,12,1.8278383579217325,16.349279999999887,329.0,TP hit,1.0
GLD,Long,shock_rebound_long,2025-10-29 08:01:00-04:00,2025-10-29 11:50:00-04:00,2025-10-29,Wednesday,08:00,8,-0.64095745184254,-7.2095745184254,229.0,Trail stop,0.0
GLD,Short,intraday_pullback_short,2025-11-14 08:01:00-05:00,2025-11-14 08:26:00-05:00,2025-11-14,Friday,08:00,8,1.2000000000000006,8.468544000000005,25.0,TP hit,1.0
GLD,Long,shock_rebound_long,2026-01-29 16:14:00-05:00,2026-01-29 16:44:00-05:00,2026-01-29,Thursday,16:00,16,-0.3827411781302172,-4.627411781302172,30.0,Trail stop,0.0
GLD,Short,cascade_breakdown_short,2026-02-02 04:35:00-05:00,2026-02-02 04:41:00-05:00,2026-02-02,Monday,04:30,4,-0.6000000000000063,-5.854800000000054,6.0,Trail stop,0.0
GLD,Short,intraday_pullback_short,2026-02-02 04:56:00-05:00,2026-02-02 05:37:00-05:00,2026-02-02,Monday,04:30,4,1.1999999999999975,9.72271999999998,41.0,TP hit,1.0
GLD,Long,shock_rebound_long,2026-02-13 08:03:00-05:00,2026-02-13 09:41:00-05:00,2026-02-13,Friday,08:00,8,-0.06700814289465994,-1.4700814289465995,98.0,Trail stop,0.0
GLD,Long,rsi_flush_rebound_long,2026-03-02 08:02:00-05:00,2026-03-02 08:03:00-05:00,2026-03-02,Monday,08:00,8,0.5999999999999995,5.199999999999996,1.0,TP hit,1.0
GLD,Long,shock_rebound_long,2026-03-02 08:03:00-05:00,2026-03-02 08:05:00-05:00,2026-03-02,Monday,08:00,8,-0.5884778140490918,-6.684778140490919,2.0,Trail stop,0.0
GLD,Short,intraday_pullback_short,2026-03-03 08:31:00-05:00,2026-03-03 09:00:00-05:00,2026-03-03,Tuesday,08:30,8,0.32823377248087204,2.361441919999996,29.0,Trail stop,1.0
GLD,Short,shock_reversal_short,2026-03-19 08:01:00-04:00,2026-03-19 08:02:00-04:00,2026-03-19,Thursday,08:00,8,-0.7999999999999979,-7.502881759999982,1.0,Trail stop,0.0
GLD,Short,cascade_breakdown_short,2026-03-19 09:00:00-04:00,2026-03-19 09:02:00-04:00,2026-03-19,Thursday,09:00,9,0.9999999999999983,7.6989979199999885,2.0,TP hit,1.0
GLD,Short,intraday_pullback_short,2026-03-19 09:21:00-04:00,2026-03-19 09:32:00-04:00,2026-03-19,Thursday,09:00,9,-0.2070874017623328,-2.410960000000071,11.0,Trail stop,0.0
