symbol,reaction_date,event_family,selected_family,selected_branch,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,capital_allocated,outcome,notes
AVGO,2025-09-05,positive,positive,failed_reclaim,1,Short,2025-09-05T13:54:00,2025-09-05T16:00:00,339.77,332.12,2.251523089148535,14.756367999999954,679.54,Counter-signal exit,Entry: Short @ 339.7700 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=357.2809 | TP=none | Short qty floored 2.943167 → 2 (Alpaca integer rule). | fill_diag: close=339.7700 H=341.7300 L=339.4300 range=0.677% | session_exit=eod | Session-close exit
APLD,2025-10-10,positive,positive,short_only,1,Short,2025-10-10T13:11:00,2025-10-10T13:31:00,36.7603,35.375,3.768467613158763,36.60907752000002,992.5281,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_short_only_short | SL=38.9825 | TP=none | Short qty floored 27.203260 → 27 (Alpaca integer rule). | fill_diag: close=36.7603 H=37.0500 L=36.7600 range=0.789% | session_exit=eod
PYPL,2025-10-28,positive,positive,failed_reclaim,1,Short,2025-10-28T12:50:00,2025-10-28T16:00:00,77.55,76.99,0.7221147646679591,5.975520000000026,930.5999999999999,Counter-signal exit,Entry: Short @ 77.5500 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=82.5524 | TP=none | Short qty floored 12.894907 → 12 (Alpaca integer rule). | fill_diag: close=77.5500 H=77.6800 L=77.3000 range=0.490% | session_exit=eod | Session-close exit
STX,2025-10-29,positive,positive,continuation,1,Long,2025-10-29T10:20:00,2025-10-29T16:00:00,235.42,261.29,10.988870954039603,109.08870954039604,1000.0,Counter-signal exit,Entry: Long @ 235.4200 (signal-bar close) | regime=earnings_continuation_long | SL=226.0032 | TP=none | fill_diag: close=235.4200 H=235.4200 L=235.4200 range=0.000% | session_exit=eod | Session-close exit
AXON,2026-02-25,positive,positive,wave_best,1,Short,2026-02-25T13:56:00,2026-02-25T14:06:00,505.98,494.99,2.1720226095893134,10.585216000000008,505.97999999999996,Counter-signal exit,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | Short qty floored 1.976363 → 1 (Alpaca integer rule). | fill_diag: close=505.9800 H=507.9460 L=504.0400 range=0.772% | session_exit=eod
AXON,2026-02-25,positive,positive,wave_best,2,Long,2026-02-25T14:07:00,2026-02-25T14:13:00,496.95,489.49575,-1.5000000000000004,-15.800000000000006,1000.0,SL hit,Entry: Long @ 496.9500 (signal-bar close) | regime=earnings_wave_long | SL=489.4957 | TP=none | fill_diag: close=496.9500 H=496.9500 L=494.0695 range=0.580% | session_exit=eod
TXN,2026-04-23,positive,positive,continuation,1,Long,2026-04-23T10:01:00,2026-04-23T16:00:00,263.88,279.4075,5.884303471274834,58.043034712748344,1000.0,Counter-signal exit,Entry: Long @ 263.8800 (signal-bar close) | regime=earnings_continuation_long | SL=253.3248 | TP=none | fill_diag: close=263.8800 H=263.8800 L=260.7500 range=1.186% | session_exit=eod | Session-close exit
INTC,2026-04-24,positive,positive,wave_robust,1,Short,2026-04-24T13:01:00,2026-04-24T13:21:00,83.4016,82.79,0.733319264858223,5.993665919999954,917.4176000000001,Counter-signal exit,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_robust_short | SL=87.7534 | TP=none | Short qty floored 11.990178 → 11 (Alpaca integer rule). | fill_diag: close=83.4016 H=83.4800 L=83.2600 range=0.264% | session_exit=eod
INTC,2026-04-24,positive,positive,wave_robust,2,Long,2026-04-24T13:22:00,2026-04-24T13:42:00,82.3,83.59,1.5674362089915022,14.87436208991502,1000.0,Counter-signal exit,Entry: Long @ 82.3000 (signal-bar close) | regime=earnings_wave_robust_long | SL=81.0655 | TP=none | fill_diag: close=82.3000 H=82.7988 L=82.3000 range=0.606% | session_exit=eod
NXPI,2026-04-29,positive,positive,continuation,1,Long,2026-04-29T10:01:00,2026-04-29T16:00:00,270.0,288.07,6.69259259259259,66.12592592592591,1000.0,Counter-signal exit,Entry: Long @ 270.0000 (signal-bar close) | regime=earnings_continuation_long | SL=259.2000 | TP=none | fill_diag: close=270.0000 H=270.0000 L=270.0000 range=0.000% | session_exit=eod | Session-close exit
STX,2026-04-29,positive,positive,wave_best,1,Short,2026-04-29T13:02:00,2026-04-29T13:12:00,664.5,665.0,-0.07524454477050413,-1.0316,664.5,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | Short qty floored 1.504891 → 1 (Alpaca integer rule). | fill_diag: close=664.5000 H=667.4000 L=664.5000 range=0.436% | session_exit=eod
STX,2026-04-29,positive,positive,wave_best,2,Long,2026-04-29T13:22:00,2026-04-29T13:42:00,663.0,688.344,3.8226244343891476,37.38763543022631,998.9684,Counter-signal exit,Entry: Long @ 663.0000 (signal-bar close) | regime=earnings_wave_long | SL=653.0550 | TP=none | fill_diag: close=663.0000 H=663.0000 L=662.7487 range=0.038% | session_exit=eod
QCOM,2026-04-30,positive,positive,continuation,1,Long,2026-04-30T10:00:00,2026-04-30T13:32:00,172.72,165.81119999999999,-4.000000000000008,-40.80000000000008,1000.0,SL hit,Entry: Long @ 172.7200 (signal-bar close) | regime=earnings_continuation_long | SL=165.8112 | TP=none | fill_diag: close=172.7200 H=172.7200 L=172.7200 range=0.000% | session_exit=eod
MSTR,2024-04-30,negative,negative,continuation_short,1,Short,2024-04-30T11:00:00,2024-04-30T16:00:00,120.6,110.06,8.739635157545598,83.54815999999992,964.8,Counter-signal exit,Entry: Short @ 120.6000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=126.6300 | TP=none | Short qty floored 8.291874 → 8 (Alpaca integer rule). | fill_diag: close=120.6000 H=120.6000 L=120.6000 range=0.000% | session_exit=eod | Session-close exit
DASH,2024-05-02,negative,negative,negative_rebound,1,Long,2024-05-02T12:00:00,2024-05-02T12:01:00,116.6,119.5,2.4871355060034355,24.071355060034357,1000.0,Counter-signal exit,Entry: Long @ 116.6000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=110.1352 | TP=none | fill_diag: close=116.6000 H=117.3800 L=111.5000 range=5.043% | session_exit=eod
ABNB,2024-08-07,negative,negative,negative_rebound,1,Long,2024-08-07T12:46:00,2024-08-07T12:47:00,113.2,113.0,-0.17667844522968448,-2.5667844522968446,1000.0,Counter-signal exit,Entry: Long @ 113.2000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=108.1373 | TP=none | fill_diag: close=113.2000 H=113.2000 L=112.8800 range=0.283% | session_exit=eod
MNST,2024-08-08,negative,negative,continuation_short,1,Short,2024-08-08T10:17:00,2024-08-08T16:00:00,46.3,45.025,2.753779697624187,25.997159999999965,972.3,Counter-signal exit,Entry: Short @ 46.3000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=48.6150 | TP=none | Short qty floored 21.598272 → 21 (Alpaca integer rule). | fill_diag: close=46.3000 H=46.3000 L=46.3000 range=0.000% | session_exit=eod | Session-close exit
WBD,2024-08-08,negative,negative,negative_rebound,1,Long,2024-08-08T12:00:00,2024-08-08T12:02:00,6.95,7.01,0.86330935251798,7.833093525179801,1000.0,Counter-signal exit,Entry: Long @ 6.9500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=6.6399 | TP=none | fill_diag: close=6.9500 H=6.9575 L=6.7527 range=2.947% | session_exit=eod
PDD,2024-11-21,negative,negative,negative_rebound,1,Long,2024-11-21T12:00:00,2024-11-21T12:01:00,106.59,105.78,-0.7599211933577279,-8.399211933577279,1000.0,Counter-signal exit,Entry: Long @ 106.5900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=96.4180 | TP=none | fill_diag: close=106.5900 H=106.7500 L=105.0000 range=1.642% | session_exit=eod
PDD,2025-05-27,negative,negative,negative_rebound,1,Long,2025-05-27T13:20:00,2025-05-27T14:22:00,98.66,99.817,1.1727143725927391,10.927143725927392,1000.0,Counter-signal exit,Entry: Long @ 98.6600 (signal-bar close) | regime=earnings_negative_rebound_long | SL=93.4459 | TP=none | fill_diag: close=98.6600 H=98.6600 L=98.5000 range=0.162% | session_exit=eod
ARM,2025-07-31,negative,negative,negative_rebound,1,Long,2025-07-31T14:14:00,2025-07-31T14:15:00,145.67,145.93,0.178485618178087,0.9848561817808701,1000.0,Counter-signal exit,Entry: Long @ 145.6700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=139.1600 | TP=none | fill_diag: close=145.6700 H=145.6800 L=144.9018 range=0.534% | session_exit=eod
MRVL,2025-08-29,negative,negative,continuation_short,1,Short,2025-08-29T10:00:00,2025-08-29T16:00:00,66.02,64.66,2.05998182368979,19.607759999999992,990.3,Counter-signal exit,Entry: Short @ 66.0200 (signal-bar close) | regime=earnings_negative_continuation_short | SL=69.3210 | TP=none | Short qty floored 15.146925 → 15 (Alpaca integer rule). | fill_diag: close=66.0200 H=66.2800 L=66.0200 range=0.394% | session_exit=eod | Session-close exit
SNPS,2025-09-10,negative,negative,continuation_short,1,Short,2025-09-10T10:00:00,2025-09-10T16:00:00,475.84,399.355,16.073680228648275,152.2086559999999,951.6800000000001,Counter-signal exit,Entry: Short @ 475.8400 (signal-bar close) | regime=earnings_negative_continuation_short | SL=499.6320 | TP=none | Short qty floored 2.101547 → 2 (Alpaca integer rule). | fill_diag: close=475.8400 H=476.0000 L=475.8400 range=0.034% | session_exit=eod | Session-close exit
CHTR,2025-10-31,negative,negative,negative_rebound,1,Long,2025-10-31T13:28:00,2025-10-31T13:31:00,216.49,222.895,2.958566215529586,28.785662155295856,1000.0,Counter-signal exit,Entry: Long @ 216.4900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=206.7421 | TP=none | fill_diag: close=216.4900 H=216.4900 L=211.7000 range=2.213% | session_exit=eod
PYPL,2026-02-03,negative,negative,negative_rebound,1,Long,2026-02-03T13:01:00,2026-02-03T13:03:00,52.97,53.74,1.453653011138386,13.73653011138386,1000.0,Counter-signal exit,Entry: Long @ 52.9700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=43.1595 | TP=none | fill_diag: close=52.9700 H=53.2300 L=43.8700 range=17.670% | session_exit=eod
PYPL,2026-02-03,negative,negative,,2,Short,2026-02-03T13:06:00,2026-02-03T13:16:00,44.01,42.88,2.567598273119735,24.085423999999897,968.2199999999999,Counter-signal exit,Entry: Short @ 44.0100 (signal-bar close) | regime=earnings_negative_short_after_rebound | SL=54.4548 | TP=none | Short qty floored 22.722109 → 22 (Alpaca integer rule). | fill_diag: close=44.0100 H=54.0500 L=43.7400 range=23.426%
CPRT,2026-02-20,negative,negative,negative_rebound,1,Long,2026-02-20T14:28:00,2026-02-20T14:29:00,34.45,34.4,-0.14513788098694996,-2.2513788098695,1000.0,Counter-signal exit,Entry: Long @ 34.4500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=32.7026 | TP=none | fill_diag: close=34.4500 H=34.9200 L=33.8900 range=2.990% | session_exit=eod
MELI,2026-02-25,negative,negative,negative_rebound,1,Long,2026-02-25T14:37:00,2026-02-25T14:40:00,1727.64,1743.99,0.9463777175800461,8.66377717580046,1000.0,Counter-signal exit,Entry: Long @ 1727.6400 (signal-bar close) | regime=earnings_negative_rebound_long | SL=1644.3146 | TP=none | fill_diag: close=1727.6400 H=1729.0000 L=1710.0000 range=1.100% | session_exit=eod
