symbol,reaction_date,timing,surprise_pct,gap_pct,peak_vs_prev_close_pct,entry_time,entry_px,exit_time,exit_px,return_pct,exit_reason,label_match,variant
RBLX,2024-10-31,bmo,4.3,0.6579706799030527,24.64504213321021,2024-10-31T13:30:00,49.95,2024-10-31T13:50:00,49.99,-0.0800800800800694,time_20,True,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
TEAM,2024-11-01,amc,19.01,19.328661010697147,23.28608315329081,2024-11-01T13:30:00,223.059,2024-11-01T13:50:00,218.7,1.9541914919371184,time_20,True,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
IDXX,2025-08-04,bmo,9.97,4.219087322266057,28.065212536291217,2025-08-04T13:36:00,652.01,2025-08-04T13:56:00,653.915,-0.2921734329228043,time_20,False,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
APLD,2025-10-10,amc,80.65,31.61634103019537,38.79111900532859,2025-10-10T13:11:00,36.7603,2025-10-10T13:31:00,35.375,3.7684676131587658,time_20,True,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
AXON,2026-02-25,amc,34.51,18.59490294345201,27.47722260072287,2026-02-25T13:58:00,500.7382,2026-02-25T14:18:00,492.0,1.7450635881185006,time_20,False,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
INTC,2026-04-24,amc,2108.68,24.31274017144547,28.92403192432753,2026-04-24T13:01:00,83.4016,2026-04-24T13:21:00,82.79,0.7333192648582232,time_20,False,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
STX,2026-04-29,amc,16.56,19.68596491228072,22.28070175438597,2026-04-29T13:48:00,669.0,2026-04-29T14:08:00,667.1001,0.2839910313901295,time_20,True,firstdump_pc20_start780_end840_pull4.0_vbreak0.5_bd0.5_exittime_20_reb0.5_vr0.0_hold30
