date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct
2024-04-02,38,8,0.16884191641434232,0.343326250533571,0.7368421052631579,0.2631578947368421,0.4188355618514439,438.31,439.85,,0.35134950149438016,,,439.14,438.91,434.06,-0.18250758508003784,,0.06748606035706373,,-0.008023250960809136,
2024-04-03,33,8,0.49325750313088346,0.39184952978057463,0.696969696969697,0.30303030303030304,0.2582085259172265,434.06,435.02,435.11,0.2211675805188218,0.2419020411924544,,434.93,435.08,437.85,0.27208992261206166,0.25135546193842906,0.03704094539840469,0.016306484724772086,0.17068194926175284,0.14994748858812024
2024-04-04,32,9,0.5714351642232176,0.43709353983052424,0.75,0.25,0.5836566734848694,437.85,439.49,439.41,0.3745574968596621,0.35628639945186613,,,439.59,441.31,0.1968776673635555,0.21514876477135148,0.20909917662520727,0.22737027403300325,0.06253604297086213,0.0808071403786581
2024-04-05,33,8,-2.3164058727046877,-2.1691973969631295,0.0,1.0,-2.2070714702949576,441.31,432.0,,-2.1096281525458283,,431.86,,432.15,437.59,-0.20677772015885942,,-0.0974433177491294,,-0.05956924441730127,
2024-04-08,40,9,-0.18311493698863368,-0.3733855362987315,0.275,0.7,-0.1851388368999414,437.59,435.89,,-0.38849151031787876,,436.06,,436.24,435.65,0.20537657332924508,,0.20335267341793736,,0.015105974019147261,
2024-04-09,28,8,0.11464561308152497,0.14592501699126625,0.5357142857142857,0.42857142857142855,-0.05002540167933639,435.65,436.34,,0.15838402387238215,,,,435.75,435.34,-0.04373841079085718,,-0.20840942555171854,,-0.012459006881115897,
2024-04-10,27,8,0.7290452299166238,0.5482534894299729,0.8518518518518519,0.14814814814814814,0.7803348740923061,435.34,438.09,,0.6316901731979518,,437.79,437.06,437.72,432.35,0.09735505671867195,,0.14864470089435422,,-0.08343668376797897,
2024-04-11,35,9,0.4169912646920075,0.07538635506973979,0.5142857142857142,0.4857142857142857,0.17887927271983653,432.35,432.85,432.89,0.11564704521800362,0.12489880883541638,433.15,,433.19,436.79,0.30134421947400386,0.2920924558565911,0.06323222750183291,0.053980463884420155,-0.040260690148263834,-0.04951245376567659
2024-04-12,35,8,0.5912772415724628,0.42835724994645386,0.8571428571428571,0.14285714285714285,0.6743096670957099,436.79,439.27,439.23,0.5677785663591006,0.5586208475468757,439.1,438.93,438.35,435.36,0.02349867521336213,0.032656394025587065,0.10653110073660932,0.11568881954883425,-0.13942131641264677,-0.13026359760042183
2024-04-15,46,10,-0.2648872700307523,-0.2072953645135378,0.32608695652173914,0.6739130434782609,-0.028169020688225688,435.36,435.66,435.63,0.06890848952592066,0.06201764057331971,435.91,435.73,435.81,434.38,-0.33379575955667296,-0.326904910604072,-0.09707751021414635,-0.0901866612615454,-0.27620385403945846,-0.2693130050868575
2024-04-16,35,8,-2.5526612600500047,-2.476440937979385,0.0,1.0,-2.6557304304773726,434.38,426.21,426.1,-1.8808416593765864,-1.9061651088908227,,425.53,425.94,426.4,-0.6718196006734183,-0.646496151159182,-0.7748887711007861,-0.7495653215865499,-0.5955992786027986,-0.5702758290885623
2024-04-17,34,8,0.13901530394255268,0.10062642737979077,0.5882352941176471,0.4117647058823529,0.40611642420288613,426.4,426.98,427.05,0.13602251407129895,0.1524390243902607,426.99,427.71,427.63,423.18,0.0029927898712537315,-0.01342372044770801,0.2700939101315872,0.25367739981262544,-0.03539608669150818,-0.05181259701046992
2024-04-18,40,9,-0.27676676953266754,-0.1544689692515977,0.425,0.575,-0.46034229475313915,423.18,422.18,422.14,-0.2363060636135894,-0.2457583061581392,,422.65,422.81,422.65,-0.04046070591907813,-0.03100846337452834,-0.22403623113954974,-0.21458398859499994,0.08183709436199171,0.09128933690654151
2024-04-19,45,9,-1.7397485916731283,-2.018260451705911,0.13333333333333333,0.8222222222222222,-1.8411750880334123,422.65,416.29,416.38,-1.5047911983910978,-1.4834969833195322,416.42,416.31,416.57,413.23,-0.23495739328203058,-0.25625160835359617,-0.3363838896423146,-0.3576781047138802,-0.5134692533148133,-0.5347634683863789
2024-04-22,38,8,-0.3038289517038375,0.0,0.47368421052631576,0.47368421052631576,-0.9087095987513117,413.23,412.63,412.62,-0.14519758972001418,-0.14761754954868422,413.0,413.1,412.38,412.08,-0.15863136198382333,-0.15621140215515328,-0.7635120090312976,-0.7610920492026275,0.14519758972001418,0.14761754954868422
2024-04-23,37,9,1.2304080712454404,1.137924269177959,0.918918918918919,0.08108108108108109,1.0638182853618394,412.08,415.6,415.44,0.8542030673655665,0.8153756552125913,414.85,414.92,415.83,419.6,0.3762050038798739,0.4150324160328491,0.20961521799627292,0.24844263014924817,0.28372120181239247,0.3225486139653677
2024-04-24,41,8,1.3882444645419367,1.023914238592627,0.8292682926829268,0.17073170731707318,2.1053939178108565,419.6,422.59,422.58,0.7125834127740482,0.7102001906577504,422.36,422.3,422.86,420.75,0.6756610517678885,0.6780442738841863,1.3928105050368083,1.395193727153106,0.31133082581857874,0.31371404793487656
2024-04-25,43,9,-0.25890634277875946,0.12565820966969898,0.5581395348837209,0.4418604651162791,-1.9879549890018933,420.75,418.47,418.47,-0.5418894830659493,-0.5418894830659493,418.74,418.58,417.65,416.09,0.28298314028718985,0.28298314028718985,-1.446065505935944,-1.446065505935944,0.6675476927356483,0.6675476927356483
2024-04-26,38,9,1.9475634088613554,1.2547791197829228,0.8947368421052632,0.10526315789473684,4.976336041651451,416.09,423.53,423.5,1.7880746953784055,1.7808647167680158,,423.75,423.94,426.18,0.1594887134829499,0.16669869209333954,3.1882613462730456,3.195471324883435,-0.5332955755954827,-0.526085596985093
2024-04-29,36,8,0.6687432180059767,0.5314268130426458,0.6944444444444444,0.3055555555555556,0.9721987886316841,426.18,427.64,427.52,0.34257825332018044,0.31442113660893334,427.55,427.25,427.8,427.58,0.32616496468579625,0.35432208139704335,0.6296205353115036,0.6577776520227507,0.1888485597224654,0.2170056764337125
2024-04-30,26,8,0.08281728394521476,0.235426475932754,0.5769230769230769,0.4230769230769231,-0.4405851455577564,427.58,427.49,,-0.021048692642311462,,427.61,427.37,427.86,424.7,0.10386597658752622,,-0.41953645291544495,,0.25647516857506547,
2024-05-01,35,8,-2.287733118125293,-1.6536661466458713,0.08571428571428572,0.9142857142857143,-1.8304231462652434,424.7,416.92,416.87,-1.831881327996221,-1.8436543442429953,416.78,416.77,417.59,416.13,-0.45585179012907195,-0.44407877388229755,0.001458181730977559,0.013231197977751963,0.17821518135034964,0.18998819759712404
2024-05-02,34,9,1.4269444946400542,1.6812866183209763,0.7941176470588235,0.20588235294117646,1.2933507535181015,416.13,420.54,420.62,1.059764977290767,1.0789897387835534,,,421.09,420.18,0.36717951734928733,0.3479547558565008,0.23358577622733456,0.21436101473454805,0.6215216410302093,0.6022968795374228
2024-05-03,36,8,1.234745092910658,0.886110855777178,0.8055555555555556,0.19444444444444445,1.3802870482063563,420.18,424.73,424.71,1.082869246513396,1.0781093816935483,424.89,425.06,424.96,430.47,0.15187584639726204,0.15663571121710973,0.2974178016929603,0.302177666512808,-0.19675839073621804,-0.19199852591637034
2024-05-06,35,8,0.9403079490687237,0.6676762114537382,0.8285714285714286,0.17142857142857143,0.49767844803794703,430.47,431.67,,0.2787650707366307,,431.74,431.9,431.91,433.3,0.661542878332093,,0.21891337730131633,,0.38891114071710753,
2024-05-07,27,8,-0.0754106758766896,0.4872376944798251,0.7407407407407407,0.25925925925925924,0.45917452784031143,433.3,435.26,435.12,0.4523424878836835,0.42003231017770926,,,435.1,437.0,-0.5277531637603731,-0.49544298605439885,0.0068320399566279555,0.039142217662602174,0.03489520659614165,0.06720538430211587
