symbol,reaction_date,timing,surprise_pct,gap_pct,confirm5_close_from_open_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,peak_vs_prev_close_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
GOOG,2024-04-26,amc,25.58,11.43021619547142,0.1033235749956729,0.4305148958154037,0.3214511222088267,12.587949341179485,-1.636,-1.636,-11.225,1,Long,-1.556331,Entry: Long @ 174.7700 (signal-bar close) | regime=earnings_positive_continuation_long | SL=167.7792 | TP=none | fill_diag: close=174.7700 H=174.7700 L=174.7600 range=0.006% | session_exit=eod | Session-close exit
GOOGL,2024-04-26,amc,25.58,11.39993533785968,0.0580450429533252,0.4585558393313205,0.3598792663106698,12.71257678629163,-1.52,-1.52,-11.225,1,Long,-1.440139,Entry: Long @ 172.9000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=165.9840 | TP=none | fill_diag: close=172.9000 H=172.9000 L=172.8600 range=0.023% | session_exit=eod | Session-close exit
AMGN,2024-05-03,amc,1.83,14.85742871435718,0.0,0.1876172607879977,0.1340123291342809,16.800708046330847,-0.99,-0.99,-11.225,1,Long,-0.910064,Entry: Long @ 298.8800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=286.9248 | TP=none | fill_diag: close=298.8800 H=298.8800 L=298.8800 range=0.000% | session_exit=eod | Session-close exit
ZS,2024-05-31,amc,35.94,14.788269537729647,0.0981568328062065,0.0981568328062065,0.0654378885374562,15.802322306031114,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 183.5000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=176.1600 | TP=none | fill_diag: close=183.5000 H=183.5000 L=183.5000 range=0.000% | session_exit=eod
CRWD,2024-06-05,amc,4.38,6.421808684296448,0.0092033009172487,0.2239469889867118,1.00622756695401,12.393078681031657,0.716,0.0,11.225,1,Long,0.795718,Entry: Long @ 329.2500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=316.0800 | TP=none | fill_diag: close=329.2500 H=329.2500 L=329.2500 range=0.000% | session_exit=eod | Session-close exit
AVGO,2024-06-13,amc,1.08,14.653451717255162,0.0,-0.9905150678352737,-0.9905150678352737,17.083075228852664,-0.019,-0.019,-11.2249,1,Long,0.060632,Entry: Long @ 164.9300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=158.3328 | TP=none | fill_diag: close=164.9300 H=164.9300 L=164.9300 range=0.000% | session_exit=eod | Session-close exit
ADBE,2024-06-14,amc,1.92,14.11143183922443,1.1836578846888155,0.7827415043909935,0.6395570828560571,16.431566908120487,-0.577,-0.577,-11.225,1,Long,-0.497012,Entry: Long @ 527.1500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=506.0640 | TP=none | fill_diag: close=527.1500 H=527.1500 L=527.1500 range=0.000% | session_exit=eod | Session-close exit
FTNT,2024-08-07,amc,40.18,15.376401494927917,0.0308499151627339,-0.015424957581378,-0.015424957581378,25.65403096636414,8.498,0.0,11.225,1,Long,8.577600,Entry: Long @ 64.8200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=62.2272 | TP=none | fill_diag: close=64.8200 H=64.8200 L=64.8200 range=0.000% | session_exit=eod | Session-close exit
TSLA,2024-10-24,amc,24.76,9.688340599202297,0.1353008329457727,0.1268445308866495,0.101475624709324,18.231147388924956,7.172,0.0,11.225,1,Long,7.252376,Entry: Long @ 236.7500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=227.2800 | TP=none | fill_diag: close=236.7500 H=236.8400 L=236.6900 range=0.063% | session_exit=eod | Session-close exit
CDNS,2024-10-29,amc,13.73,6.311504564676129,0.0,0.3717472118959009,-0.516728624535312,12.54791921906493,6.295,0.0,11.225,1,Long,6.374949,Entry: Long @ 267.6100 (signal-bar close) | regime=earnings_positive_continuation_long | SL=256.9056 | TP=none | fill_diag: close=267.6100 H=267.6100 L=267.6100 range=0.000% | session_exit=eod | Session-close exit
MRVL,2024-12-04,amc,5.53,10.267489711934164,0.2239223735771567,0.4385146482552615,0.0093300988990296,20.60699588477366,7.122,0.0,11.225,1,Long,7.202164,Entry: Long @ 107.1900 (signal-bar close) | regime=earnings_positive_continuation_long | SL=102.9024 | TP=none | fill_diag: close=107.1900 H=107.2000 L=107.1900 range=0.009% | session_exit=eod | Session-close exit
NFLX,2025-01-22,amc,1.41,15.05314232902033,0.0200823375840819,0.0301235063761451,-0.0702881815443423,16.21996303142328,-3.155,-3.155,-11.225,1,Long,-3.074759,Entry: Long @ 99.5200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=95.5392 | TP=none | fill_diag: close=99.5200 H=99.5200 L=99.5200 range=0.000% | session_exit=eod | Session-close exit
TEAM,2025-01-31,amc,66.39,20.013545546901447,0.0,-0.6144971156257784,-1.1161274140958133,22.66245249651955,-0.971,-0.971,-11.225,1,Long,-0.890964,Entry: Long @ 315.4000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=302.7840 | TP=none | fill_diag: close=315.4000 H=316.4700 L=315.0600 range=0.447% | session_exit=eod | Session-close exit
ABNB,2025-02-14,amc,25.14,14.318458563140158,0.1817042606516272,0.7518796992481258,0.7080200501253131,17.419955590573743,1.486,0.0,11.225,1,Long,1.565918,Entry: Long @ 160.7300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=154.3008 | TP=none | fill_diag: close=160.7300 H=160.7300 L=160.3800 range=0.218% | session_exit=eod | Session-close exit
AXON,2025-02-26,amc,48.21,19.14543960558749,0.0,0.0,-0.5172413793103403,23.45727198027938,0.861,0.0,11.225,1,Long,0.941075,Entry: Long @ 577.0000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=553.9200 | TP=none | fill_diag: close=577.0000 H=577.0000 L=577.0000 range=0.000% | session_exit=eod | Session-close exit
INTU,2025-02-26,amc,28.93,7.520613127020437,0.0,0.0,0.5185548029660758,15.0957102902183,3.822,0.0,11.225,1,Long,3.901865,Entry: Long @ 595.1000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=571.2960 | TP=none | fill_diag: close=595.1000 H=595.1000 L=595.1000 range=0.000% | session_exit=eod | Session-close exit
