rule_name,family,side,stop_loss_pct,trail_pct,trail_activation_pct,signals,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,score
apld_btc_confirm_long,close_only,long,,,,46,63.04347826086957,2.0204506540601455,2.71032322151753,130.76745950567653,142.58943983459284
apld_btc_confirm_long,stop_eod,long,3.0,,,46,54.347826086956516,1.7142120364013067,0.6404231570416141,106.39627883265601,117.49803166986666
apld_btc_confirm_long,trail_eod,long,,3.0,0.75,46,52.17391304347826,1.4292917978088453,0.3322178047495683,85.26918237632472,95.87833746434234
apld_btc_confirm_long,trail_eod,long,,3.0,0.5,46,47.82608695652174,1.340749721471784,-0.12089684137771006,77.98035571543625,88.32626290633958
apld_btc_confirm_long,trail_eod,long,,3.0,1.0,46,58.69565217391305,1.3154107464415927,1.0743290861351729,74.27835575634607,84.91234144122586
apld_btc_confirm_long,trail_eod,long,,3.0,0.25,46,47.82608695652174,1.2982269032531786,-0.12089684137771006,74.4746820422534,84.75680500582884
apld_btc_confirm_long,trail_eod,long,,3.0,1.5,46,58.69565217391305,1.2042304084316182,1.0743290861351729,65.1156001378459,75.58281531571073
apld_btc_confirm_long,trail_eod,long,,3.0,2.0,46,60.86956521739131,1.1959107379370213,1.1121681510956272,64.23508583302468,74.75503889645195
apld_btc_confirm_long,trail_eod,long,,2.5,1.0,46,58.69565217391305,1.1589484376705397,0.6851743743082728,62.865464311814236,73.26475653353744
apld_btc_confirm_long,stop_eod,long,2.5,,,46,39.130434782608695,1.159857048759263,-2.499999999999991,60.416500082851265,70.23019869946842
apld_btc_confirm_long,trail_eod,long,,2.5,2.0,46,65.21739130434783,1.0910352166740593,1.0954188753346306,57.05129739616361,67.54437196030514
apld_btc_confirm_long,trail_eod,long,,2.5,1.5,46,58.69565217391305,1.025863953372781,0.6851743743082728,52.72421177583573,62.92387727111229
apld_btc_confirm_long,stop_eod,long,2.0,,,46,30.434782608695656,0.9994333712126463,-2.0000000000000018,49.7255615590386,59.03775509411844
apld_btc_confirm_long,trail_eod,long,,2.5,0.75,46,47.82608695652174,0.7624380820257622,-0.10789191946454224,38.941522368266405,48.419962100000696
apld_btc_confirm_long,trail_eod,long,,2.0,2.0,46,73.91304347826086,0.7619889418153092,0.9087846344843831,36.003293458826334,46.26366817589712
apld_btc_confirm_long,trail_eod,long,,2.5,0.5,46,43.47826086956522,0.6384329133999669,-0.286332018052482,31.35472614495942,40.516723341146324
apld_btc_confirm_long,trail_eod,long,,2.0,1.5,46,63.04347826086957,0.5240278250616194,0.3896983254232711,22.448915733161634,32.02626181858015
apld_btc_confirm_long,stop_trail_eod,long,2.5,2.5,1.0,46,41.30434782608695,0.5157124323090706,-0.5721254421402422,22.81890702462266,31.731606107868874
apld_btc_confirm_long,trail_eod,long,,1.5,2.0,46,76.08695652173914,0.4912282833596103,0.99091040182957,21.782502576382747,31.701953697074337
apld_btc_confirm_long,stop_eod,long,1.5,,,46,21.73913043478261,0.5040808128611133,-1.5000000000000013,21.838085593550694,30.14638072588584
apld_btc_confirm_long,trail_eod,long,,2.5,0.25,46,41.30434782608695,0.4447833494659571,-0.7994093705724847,20.234654175312784,29.040959634294328
apld_btc_confirm_long,stop_trail_eod,long,2.5,2.5,1.5,46,41.30434782608695,0.4335384258826422,-0.5721254421402422,18.177961150429777,26.96739922403635
apld_btc_confirm_long,stop_eod,long,0.75,,,46,13.043478260869565,0.38851753838400205,-0.7499999999999951,17.095539939792314,24.969620595194403
apld_btc_confirm_long,stop_eod,long,1.0,,,46,15.217391304347828,0.31654424911228424,-1.0000000000000009,13.01160787473159,20.842945987530452
apld_btc_confirm_long,stop_trail_eod,long,2.0,2.5,1.0,46,34.78260869565217,0.2850507789615622,-1.218232412391762,10.756535902477115,19.127590331789023
apld_btc_confirm_long,trail_eod,long,,1.25,2.0,46,76.08695652173914,0.24599847002384637,1.1556195735128671,9.237927656883894,18.78953405757184
apld_btc_confirm_long,stop_eod,long,1.25,,,46,17.391304347826086,0.27963531890186644,-1.2499999999999956,10.749196184312538,18.59038829310012
