symbol,reaction_date,timing,direction,surprise_pct,gap_pct,peak_vs_prev_close_pct,trough_vs_prev_close_pct,entry_time,entry_px,exit_px,return_pct,label_match,variant
APP,2025-02-13,amc,short,13.29,28.16328686100549,38.66444866920151,27.101816645542876,2025-02-13T12:01:00,485.01,493.315,-1.712335828127265,True,overshoot_pc20_start720_end780_pull1.5_vwap0.0_rev0.5
APLD,2025-10-10,amc,short,80.65,31.61634103019537,38.79111900532859,16.625577264653657,2025-10-10T12:42:00,37.05,35.6397,3.806477732793523,True,overshoot_pc20_start720_end780_pull1.5_vwap0.0_rev0.5
INTC,2026-04-24,amc,short,2108.68,24.31274017144547,28.92403192432753,19.18415607449011,2026-04-24T12:04:00,84.9,81.68,3.7926972909305023,False,overshoot_pc20_start720_end780_pull1.5_vwap0.0_rev0.5
STX,2026-04-29,amc,short,16.56,19.68596491228072,22.280701754385966,14.782456140350874,2026-04-29T12:08:00,676.0,657.75,2.6997041420118384,True,overshoot_pc20_start720_end780_pull1.5_vwap0.0_rev0.5
