date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct,direction,entry_price,exit_price,gross_return_pct,return_pct,basket_gap_pct,qqq_signal_gap_pct,dislocation_pct,selected_variant
2024-10-08,50,10,-0.7000237824296031,-0.39231538087605156,0.22,0.78,-0.7892454504669366,481.89,480.08,480.23,-0.37560439104360466,-0.3444769553217486,480.17,,480.31,484.17,-0.3244193913859984,-0.35554682710785446,-0.41364105942333196,-0.444768495145188,-0.0167109898324469,-0.047838425554302955,-1,480.08,484.17,-0.8519413431094858,-0.9719413431094858,-0.7892454504669366,-0.37560439104360466,-0.41364105942333196,mega_entry0929_exit1600_thr40_b60
2024-10-11,38,9,-0.5781780045987495,-0.25443689203037967,0.2894736842105263,0.7105263157894737,-1.0089872781020075,490.05,487.63,487.65,-0.4938271604938316,-0.4897459442914087,,487.34,487.88,489.71,-0.08435084410491789,-0.08843206030734074,-0.5151601176081759,-0.5192413338105988,0.2393902684634519,0.23530905226102905,-1,487.63,489.71,-0.4265529192215345,-0.5465529192215345,-1.0089872781020075,-0.4938271604938316,-0.5151601176081759,mega_entry0929_exit1600_thr40_b60
2024-10-17,52,9,0.7617186544076369,1.0044793247978245,0.7884615384615384,0.21153846153846154,1.5684390695346824,485.36,490.43,,1.044585462337233,,,490.53,491.39,490.97,-0.2828668079295962,,0.5238536071974493,,-0.040106137539408504,,1,490.43,490.97,0.11010745672166422,-0.009892543278335775,1.5684390695346824,1.044585462337233,0.5238536071974493,mega_entry0929_exit1600_thr40_b60
2024-10-31,49,9,-1.2768117447028409,-1.2147716229348848,0.08163265306122448,0.9183673469387755,-2.7770388639823187,495.58,487.32,487.28,-1.6667339279228366,-1.6748052786633827,487.51,,488.02,481.27,0.3899221832199957,0.3979935339605418,-1.110304936059482,-1.102233585318936,0.45196230498795176,0.46003365572849786,-1,487.32,481.27,1.2414840351309242,1.121484035130924,-2.7770388639823187,-1.6667339279228366,-1.110304936059482,mega_entry0929_exit1600_thr40_b60
2024-11-06,59,9,2.332247130879849,1.9506226157057327,0.847457627118644,0.15254237288135594,3.0759920889852292,486.0,496.94,497.0,2.2510288065843653,2.263374485596703,497.36,497.54,496.58,497.27,0.08121832429548359,0.06887264528314585,0.8249632824008639,0.8126176033885262,-0.30040619087863263,-0.31275186989097037,1,496.94,497.27,0.06640640721213842,-0.05359359278786158,3.0759920889852292,2.2510288065843653,0.8249632824008639,mega_entry0929_exit1600_thr40_b60
2024-11-11,45,9,1.1386250953140915,0.29860650298605407,0.6222222222222222,0.37777777777777777,1.0030060335543967,508.97,511.66,511.71,0.5285183802581583,0.5383421419729917,,511.53,,509.84,0.6101067150559332,0.6002829533410998,0.4744876532962383,0.464663891581405,-0.22991187727210427,-0.23973563898693762,1,511.66,509.84,-0.3557049603252205,-0.47570496032522047,1.0030060335543967,0.5285183802581583,0.4744876532962383,mega_entry0929_exit1600_thr40_b60
2024-12-12,39,9,0.6368285547764747,0.6010303377218085,0.6410256410256411,0.358974358974359,1.0489521920063163,523.37,524.72,524.74,0.25794371095020363,0.2617650992605691,524.52,524.36,524.6,524.33,0.3788848438262711,0.3750634555159056,0.7910084810561127,0.7871870927457472,0.34308662677160484,0.33926523846123935,1,524.72,524.33,-0.07432535447476907,-0.19432535447476906,1.0489521920063163,0.25794371095020363,0.7910084810561127,mega_entry0929_exit1600_thr40_b60
2024-12-16,34,9,1.1759193614397423,0.521111090950499,0.6176470588235294,0.38235294117647056,1.2807029150623386,523.65,527.2,,0.6779337343645775,,527.45,527.73,,531.55,0.4979856270751648,,0.6027691806977611,,-0.15682264341407848,,1,527.2,531.55,0.8251138088011922,0.7051138088011922,1.2807029150623386,0.6779337343645775,0.6027691806977611,mega_entry0929_exit1600_thr40_b60
2024-12-20,48,9,-1.859887389988898,-1.6578201081847987,0.10416666666666667,0.8958333333333334,-3.0451250596282176,514.18,504.38,504.48,-1.905947333618574,-1.8864988914387815,504.25,504.46,503.85,513.93,0.046059943629676026,0.026611501449883557,-1.1391777260096436,-1.158626168189436,0.2481272254337752,0.22867878325398272,-1,504.38,513.93,-1.8934136960228276,-2.0134136960228277,-3.0451250596282176,-1.905947333618574,-1.1391777260096436,mega_entry0929_exit1600_thr40_b60
2024-12-24,34,9,1.1075143695464156,1.307517245436307,0.9117647058823529,0.08823529411764706,1.435659592952417,515.24,520.48,520.26,1.0170017855756663,0.9743032373263016,,,,524.7,0.09051258397074924,0.13321113222011394,0.4186578073767506,0.4613563556261153,0.29051545986064076,0.33321400811000546,1,520.48,524.7,0.8107900399631163,0.6907900399631163,1.435659592952417,1.0170017855756663,0.4186578073767506,mega_entry0929_exit1600_thr40_b60
