symbol,reaction_date,timing,surprise_pct,gap_pct,trough_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,selected_branch,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
MSTR,2024-04-30,amc,-306.58,-5.666203489269717,-16.311563995677,0.0,-1.3093289689034449,continuation_short,8.355,0.0,11.225,1,Short,8.739635,Entry: Short @ 120.6000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=126.6300 | TP=none | Short qty floored 8.291874 → 8 (Alpaca integer rule). | fill_diag: close=120.6000 H=120.6000 L=120.6000 range=0.000% | session_exit=eod | Session-close exit
DASH,2024-05-02,amc,-25.76,-12.676056338028175,-14.663536776212826,-0.2329749103942568,0.3673835125448166,rebound_long,2.407,0.0,9.1652,1,Long,2.487136,Entry: Long @ 116.6000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=110.1352 | TP=none | fill_diag: close=116.6000 H=117.3800 L=111.5000 range=5.043% | session_exit=eod
ABNB,2024-08-07,amc,-9.23,-15.897514457508333,-16.671134770786256,-0.0091074681238478,0.1183970856102112,rebound_long,-0.257,-0.257,-9.1651,1,Long,-0.176678,Entry: Long @ 113.2000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=108.1373 | TP=none | fill_diag: close=113.2000 H=113.2000 L=112.8800 range=0.283% | session_exit=eod
MNST,2024-08-08,amc,-9.61,-9.519633635389258,-15.580239695995324,-0.2799913848804736,-0.2799913848804736,continuation_short,2.6,0.0,11.225,1,Short,2.753780,Entry: Short @ 46.3000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=48.6150 | TP=none | Short qty floored 21.598272 → 21 (Alpaca integer rule). | fill_diag: close=46.3000 H=46.3000 L=46.3000 range=0.000% | session_exit=eod | Session-close exit
WBD,2024-08-08,amc,-2174.12,-13.59285258455648,-14.741544352265478,0.0,-1.3293943870014702,rebound_long,0.783,0.0,9.1651,1,Long,0.863309,Entry: Long @ 6.9500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=6.6399 | TP=none | fill_diag: close=6.9500 H=6.9575 L=6.7527 range=2.947% | session_exit=eod
PDD,2024-11-21,bmo,-5.47,1.6640392362935683,-15.04641793659135,-1.0940730530668463,-1.180220537560306,rebound_long,-0.84,-0.84,-9.1651,1,Long,-0.759921,Entry: Long @ 106.5900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=96.4180 | TP=none | fill_diag: close=106.5900 H=106.7500 L=105.0000 range=1.642% | session_exit=eod
PDD,2025-05-27,bmo,-39.82,2.608180201541188,-20.39122703023117,-0.7179995048279264,-0.4621606008087808,rebound_long,1.093,0.0,9.1651,1,Long,1.172714,Entry: Long @ 98.6600 (signal-bar close) | regime=earnings_negative_rebound_long | SL=93.4459 | TP=none | fill_diag: close=98.6600 H=98.6600 L=98.5000 range=0.162% | session_exit=eod
ARM,2025-07-31,amc,-0.31,-6.942067954045461,-14.446345636763624,-0.4005778828473971,0.4728132387706862,rebound_long,0.098,0.0,9.1651,1,Long,0.178486,Entry: Long @ 145.6700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=139.1600 | TP=none | fill_diag: close=145.6700 H=145.6800 L=144.9018 range=0.534% | session_exit=eod
MRVL,2025-08-29,amc,-0.51,-11.534920426147565,-16.88807049848744,-1.0258697591436383,-1.8435920309247789,continuation_short,1.961,0.0,11.225,1,Short,2.059982,Entry: Short @ 66.0200 (signal-bar close) | regime=earnings_negative_continuation_short | SL=69.3210 | TP=none | Short qty floored 15.146925 → 15 (Alpaca integer rule). | fill_diag: close=66.0200 H=66.2800 L=66.0200 range=0.394% | session_exit=eod | Session-close exit
SNPS,2025-09-10,amc,-9.48,-22.04936326637784,-35.98037285020349,0.0,0.1768421052631419,continuation_short,15.221,0.0,11.225,1,Short,16.073680,Entry: Short @ 475.8400 (signal-bar close) | regime=earnings_negative_continuation_short | SL=499.6320 | TP=none | Short qty floored 2.101547 → 2 (Alpaca integer rule). | fill_diag: close=475.8400 H=476.0000 L=475.8400 range=0.034% | session_exit=eod | Session-close exit
CHTR,2025-10-31,bmo,-10.5,-5.275285984692624,-14.414451485474444,0.0,0.0,rebound_long,2.879,0.0,9.1652,1,Long,2.958566,Entry: Long @ 216.4900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=206.7421 | TP=none | fill_diag: close=216.4900 H=216.4900 L=211.7000 range=2.213% | session_exit=eod
PYPL,2026-02-03,bmo,-4.4,1.5340909090909127,-20.132575757575754,0.2424920723745671,0.186532363365055,rebound_long,3.782,0.0,10.9589,2,Long|Short,1.453653|2.567598,Entry: Long @ 52.9700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=43.1595 | TP=none | fill_diag: close=52.9700 H=53.2300 L=43.8700 range=17.670% | session_exit=eod || Entry: Short @ 44.0100 (signal-bar close) | regime=earnings_negative_short_after_rebound | SL=54.4548 | TP=none | Short qty floored 22.722109 → 22 (Alpaca integer rule). | fill_diag: close=44.0100 H=54.0500 L=43.7400 range=23.426%
CPRT,2026-02-20,amc,-7.54,-6.207773626897717,-12.831518427258048,-0.0282485875706117,-0.0282485875706117,rebound_long,-0.225,-0.225,-9.1651,1,Long,-0.145138,Entry: Long @ 34.4500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=32.7026 | TP=none | fill_diag: close=34.4500 H=34.9200 L=33.8900 range=2.990% | session_exit=eod
MELI,2026-02-25,amc,-3.52,-3.018624883858434,-12.669989019342854,0.1600383221016299,-0.1224783077308333,rebound_long,0.866,0.0,9.1651,1,Long,0.946378,Entry: Long @ 1727.6400 (signal-bar close) | regime=earnings_negative_rebound_long | SL=1644.3146 | TP=none | fill_diag: close=1727.6400 H=1729.0000 L=1710.0000 range=1.100% | session_exit=eod
