symbol,event_time_et,reaction_date,timing,surprise_pct,eps_estimate,reported_eps,prev_close,open_px,close_px,gap_pct,open_to_close_pct,confirm5_close_from_open_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,open_to_30m_pct,open_to_60m_pct,first30_high_from_open_pct,first30_low_from_open_pct,afterhours_high_from_prev_close_pct,afterhours_low_from_prev_close_pct,entry5_close,entry15_close,entry30_close
FAST,2024-04-11T07:00:00,2024-04-11,bmo,-2.03,0.27,0.26,35.74,35.03,33.88,-1.9865696698377233,-3.2829003711104754,-2.083928061661444,-2.083928061661444,-2.083928061661444,-2.083928061661444,-2.083928061661444,,,,,34.3,34.3,34.3
APLD,2024-04-11T16:00:00,2024-04-12,amc,-259.98,-0.07,-0.24,2.875,2.77,2.9701,-3.652173913043477,7.22382671480144,0.0,-0.3610108303249149,-1.805054151624541,-1.805054151624541,-1.0830324909747224,0.0,-1.805054151624541,7.478260869565223,-18.260869565217387,2.77,2.76,2.72
ASML,2024-04-17T01:00:00,2024-04-17,bmo,11.55,2.79,3.11,954.82,919.02,888.34,-3.749397792254039,-3.3383386650997715,0.0,0.2404735479097253,0.4232769689451743,0.4232769689451743,0.7867075798132728,0.578877499945607,0.0,-3.061309985128091,-4.710835550156056,919.02,921.23,922.91
CSX,2024-04-17T16:00:00,2024-04-18,amc,1.7,0.45,0.46,33.3,33.75,33.77,1.3513513513513598,0.05925925925927,0.0,0.0,0.0,0.0,0.0,,,2.552552552552556,-0.6006006006005871,33.75,33.75,33.75
ISRG,2024-04-18T16:00:00,2024-04-19,amc,5.98,1.42,1.5,374.32,383.0,367.99,2.318871553750812,-3.919060052219314,0.0,0.0,0.0,0.0,0.0,,,3.8897200256465148,-1.4212438555246787,383.0,383.0,383.0
NFLX,2024-04-18T16:00:00,2024-04-19,amc,16.66,0.45,0.53,61.55,57.22,56.06,-7.034930950446794,-2.0272631946871678,0.4893393918210531,0.3145753233135373,0.3495281370150316,0.3495281370150316,-0.5592450192240528,0.4893393918210531,-0.03495281370149428,4.029244516653141,-8.123476848090982,57.5,57.4,57.42
CDNS,2024-04-22T16:00:00,2024-04-23,amc,3.47,1.13,1.17,284.03,268.47,279.145,-5.478294546350715,3.9762357060379117,0.0,0.0,0.0,0.0,-0.11546913994114893,,,1.7498151603703826,-9.587015456113779,268.47,268.47,268.47
CSGP,2024-04-22T22:00:00,2024-04-23,amc,51.86,0.07,0.1,84.59,85.29,85.46,0.8275209835677977,0.199319967170819,0.0,0.0,0.0,0.0,0.0,,,,,85.29,85.29,85.29
PEP,2024-04-23T06:00:00,2024-04-23,bmo,5.96,1.52,1.61,163.73,162.85,160.06,-0.5374702253710395,-1.7132330365366877,0.0,0.3377341111452381,0.3377341111452381,0.3377341111452381,0.5403745778323588,0.3377341111452381,0.0,0.0,-0.3725645880412798,162.85,163.4,163.4
BKR,2024-04-23T17:00:00,2024-04-24,amc,8.62,0.4,0.43,31.4,30.94,31.11,-1.4649681528662306,0.5494505494505475,0.0,0.0,0.0,0.0,0.0,,,3.0254777070063854,-3.6305732484076314,30.94,30.94,30.94
ODFL,2024-04-24T07:00:00,2024-04-24,bmo,-0.04,1.34,1.34,214.79,210.35,196.14,-2.06713534149634,-6.755407653910151,-0.004753981459471035,-0.004753981459471035,-0.004753981459471035,-0.004753981459471035,-0.004753981459471035,,,,,210.34,210.34,210.34
STX,2024-04-23T16:00:00,2024-04-24,amc,25.36,0.26,0.33,83.36,84.42,81.26,1.2715930902111428,-3.743188817815679,0.0,0.0,0.0,0.0,0.0,,,4.942418426103656,-5.650191938579652,84.42,84.42,84.42
TSLA,2024-04-23T16:00:00,2024-04-24,amc,-8.14,0.49,0.45,144.76,159.03,160.23,9.85769549599338,0.7545746085644067,0.6162359303276022,0.8488964346349714,0.4213041564484543,0.4213041564484543,1.4525561214865146,0.9432182607055362,-0.02515248695214023,13.290964354794156,-0.6355346780878568,160.01,160.38,159.7
TXN,2024-04-23T16:00:00,2024-04-24,amc,12.41,1.07,1.2,156.82,167.25,165.91,6.650937380436184,-0.8011958146487363,0.053811659192826156,-0.0358744394618804,0.13751868460387673,0.13751868460387673,0.08370702541105057,0.35874439461882623,-0.1853512705530691,7.15469965565616,-1.4857798750159357,167.34,167.19,167.48
CMCSA,2024-04-25T07:00:00,2024-04-25,bmo,5.31,0.99,1.04,34.96,35.67,32.54,2.030892448512578,-8.774880852256805,-0.420521446593769,-0.420521446593769,-0.19624334174376257,-0.19624334174376257,0.5046257359125228,0.0,-0.420521446593769,,,35.52,35.52,35.6
HON,2024-04-25T06:00:00,2024-04-25,bmo,3.32,2.18,2.25,175.99,178.94,172.9,1.676231604068401,-3.37543310606907,0.0,0.0,0.0,0.0,0.0,,,,,178.94,178.94,178.94
KDP,2024-04-25T07:00:00,2024-04-25,bmo,9.96,0.35,0.38,30.08,30.68,31.68,1.9946808510638236,3.25945241199479,0.0,0.0,0.0,0.0,0.0,,,,,30.68,30.68,30.68
LRCX,2024-04-24T16:00:00,2024-04-25,amc,6.78,0.73,0.78,87.38,86.25,88.13,-1.2932021057450171,2.179710144927527,0.0,-0.16231884057971158,-0.16231884057971158,-0.16231884057971158,0.1855072463768037,0.0,0.0,0.9040970473792598,-4.818036163881889,86.25,86.11,86.11
META,2024-04-24T16:00:00,2024-04-25,amc,8.92,4.32,4.71,483.09,427.04,427.22,-11.602392928853833,0.04215061820906918,0.4332146871487419,0.22011989509178598,-0.15923566878981443,-0.15923566878981443,-0.3910640689396838,0.6439677781940878,-0.15923566878981443,2.2480283177047866,-17.959386449729863,428.89,427.98,426.36
ORLY,2024-04-24T16:00:00,2024-04-25,amc,-1.09,0.62,0.61,72.71,69.89,69.88,-3.878421125017184,-0.01430819859780108,-2.0889969952782805,-2.0889969952782805,-2.0889969952782805,-2.0889969952782805,-2.0889969952782805,,,0.4676110576261827,-4.373538715444914,68.43,68.43,68.43
TEAM,2024-04-24T20:00:00,2024-04-25,amc,41.87,0.63,0.89,199.765,195.0,197.52,-2.3853027307085717,1.2923076923077037,0.0,0.0,0.0,0.0,0.0,,,-0.37794408429905335,-2.319225089480126,195.0,195.0,195.0
XEL,2024-04-25T06:00:00,2024-04-25,bmo,13.61,0.77,0.88,51.45,51.27,51.39,-0.3498542274052441,0.2340550029256816,0.0,0.0,0.0,0.0,0.0,,,,,51.27,51.27,51.27
CHTR,2024-04-26T07:00:00,2024-04-26,bmo,-4.09,7.87,7.55,257.65,255.8,253.35,-0.7180283330098791,-0.9577795152462931,0.0,0.0,0.0,0.0,0.0,,,,,255.8,255.8,255.8
DXCM,2024-04-25T16:00:00,2024-04-26,amc,18.61,0.27,0.32,136.46,131.0,128.18,-4.001172504763306,-2.1526717557251884,0.0,0.0,0.0,0.0,0.0,,,1.8027260735746564,-10.603839953099815,131.0,131.0,131.0
GILD,2024-04-25T16:00:00,2024-04-26,amc,13.11,-1.52,-1.32,61.66,61.32,61.67,-0.5514109633473874,0.5707762557077611,0.0,0.0,0.0,0.0,0.0,,,3.2273759325332607,-2.546221213104105,61.32,61.32,61.32
GOOG,2024-04-25T16:00:00,2024-04-26,amc,25.58,1.51,1.89,156.34,174.21,172.05,11.43021619547142,-1.2398828999483413,0.1033235749956729,0.4305148958154037,0.32145112220882677,0.32145112220882677,0.2640491361000974,0.528098272200217,-0.028700993054364687,16.508890878853787,-1.196111040040937,174.39,174.96,174.77
GOOGL,2024-04-25T16:00:00,2024-04-26,amc,25.58,1.51,1.89,154.65,172.28,170.41,11.399935337859679,-1.085442303227302,0.05804504295332524,0.4585558393313205,0.3598792663106698,0.3598792663106698,0.2263756675179751,0.5166008822846457,-0.017413512885999793,16.6311024894924,-1.3061752344002642,172.38,173.07,172.9
INTC,2024-04-25T16:00:00,2024-04-26,amc,31.74,0.14,0.18,34.35,32.28,31.69,-6.026200873362441,-1.827757125154894,-0.21685254027261625,-0.4027261462205778,-0.27881040892194786,-0.27881040892194786,0.06195786864930941,0.0,-0.6505576208178487,1.6885007278020225,-8.35516739446871,32.21,32.15,32.19
