variant,trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,long_trades,short_trades,labeled_overshoot_match_pct
overshoot_pc20_start660_end780_pull1.5_vwap0.0_rev1.0,4,75.0,-0.35189222461755887,2.4711016843681213,-2.0706266920893723,0,4,100.0
overshoot_pc20_start660_end780_pull1.5_vwap0.5_rev1.0,4,75.0,-0.5515045820233155,2.4711016843681213,-2.823871132790967,0,4,100.0
overshoot_pc20_start720_end840_pull1.5_vwap1.0_rev1.5,8,62.5,-0.2974084976603036,1.67080147504024,-2.9701507795319104,0,8,75.0
overshoot_pc20_start720_end840_pull3.0_vwap1.0_rev1.5,8,62.5,-0.2974084976603036,1.67080147504024,-2.9701507795319104,0,8,75.0
overshoot_pc20_start600_end780_pull3.0_vwap0.0_rev0.5,4,75.0,-0.9600474103812346,0.7317833587651479,-4.195067230619243,0,4,75.0
overshoot_pc20_start600_end780_pull3.0_vwap0.5_rev0.5,4,75.0,-0.9600474103812346,0.7317833587651479,-4.195067230619243,0,4,75.0
overshoot_pc20_start600_end780_pull3.0_vwap1.0_rev0.5,4,75.0,-0.9600474103812346,0.7317833587651479,-4.195067230619243,0,4,75.0
overshoot_pc20_start660_end780_pull1.5_vwap0.0_rev0.5,6,50.0,-0.7021550997961165,0.9527529917405853,-4.77052469069773,0,6,83.33333333333334
overshoot_pc20_start660_end780_pull1.5_vwap0.5_rev0.5,6,50.0,-0.7021550997961165,0.9527529917405853,-4.77052469069773,0,6,83.33333333333334
overshoot_pc20_start660_end780_pull1.5_vwap1.0_rev0.5,6,50.0,-0.7502759187169824,0.9527529917405853,-5.038248169099468,0,6,83.33333333333334
overshoot_pc20_start660_end780_pull1.5_vwap1.0_rev1.0,3,66.66666666666666,-1.6352408233683668,2.2424992267244037,-5.37837506052099,0,3,100.0
overshoot_pc20_start720_end840_pull1.5_vwap1.0_rev0.5,10,50.0,-0.5044197221154381,0.3218668438695227,-5.50998143876591,0,10,70.0
overshoot_pc20_start600_end840_pull5.0_vwap0.0_rev0.5,6,50.0,-0.8868424688357965,0.5496020223967557,-5.927452169703318,1,5,83.33333333333334
overshoot_pc20_start660_end840_pull5.0_vwap0.0_rev0.5,6,50.0,-0.8868424688357965,0.5496020223967557,-5.927452169703318,1,5,83.33333333333334
overshoot_pc20_start720_end840_pull3.0_vwap1.0_rev0.5,9,55.55555555555556,-0.620081661012025,1.0158013544018019,-6.048205122262429,0,9,66.66666666666666
overshoot_pc20_start600_end780_pull1.5_vwap0.0_rev1.5,2,50.0,-3.1748861336032386,-3.1748861336032386,-6.736367661943321,0,2,100.0
overshoot_pc20_start600_end780_pull3.0_vwap0.0_rev1.5,2,50.0,-3.1748861336032386,-3.1748861336032386,-6.736367661943321,0,2,100.0
overshoot_pc20_start660_end780_pull1.5_vwap0.0_rev1.5,2,50.0,-3.1748861336032386,-3.1748861336032386,-6.736367661943321,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap0.0_rev1.0,2,50.0,-3.1748861336032386,-3.1748861336032386,-6.736367661943321,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap0.0_rev1.5,2,50.0,-3.1748861336032386,-3.1748861336032386,-6.736367661943321,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap0.0_rev0.5,4,50.0,-1.6067491962459686,0.3394040555792843,-6.790314748803272,0,4,75.0
overshoot_pc20_start660_end780_pull3.0_vwap0.5_rev0.5,4,50.0,-1.6067491962459686,0.3394040555792843,-6.790314748803272,0,4,75.0
overshoot_pc20_start660_end780_pull3.0_vwap1.0_rev0.5,4,50.0,-1.6067491962459686,0.3394040555792843,-6.790314748803272,0,4,75.0
overshoot_pc20_start600_end840_pull5.0_vwap0.0_rev1.0,6,50.0,-1.0886644398205763,-0.05586389055758367,-7.052433186158891,1,5,83.33333333333334
overshoot_pc20_start660_end840_pull5.0_vwap0.0_rev1.0,6,50.0,-1.0886644398205763,-0.05586389055758367,-7.052433186158891,1,5,83.33333333333334
overshoot_pc20_start600_end780_pull1.5_vwap0.5_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start600_end780_pull1.5_vwap1.0_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start600_end780_pull3.0_vwap0.5_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start600_end780_pull3.0_vwap1.0_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull1.5_vwap0.5_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull1.5_vwap1.0_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap0.5_rev1.0,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap0.5_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap1.0_rev1.0,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc20_start660_end780_pull3.0_vwap1.0_rev1.5,2,50.0,-3.574110848414752,-3.574110848414752,-7.453724571370257,0,2,100.0
overshoot_pc15_start720_end780_pull3.0_vwap0.5_rev0.5,8,75.0,-0.5118217448686475,1.3875802302796225,-7.6702809137067955,2,6,75.0
overshoot_pc20_start600_end780_pull5.0_vwap0.0_rev0.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap0.0_rev1.0,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap0.0_rev1.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap0.5_rev0.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap0.5_rev1.0,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap0.5_rev1.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap1.0_rev0.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap1.0_rev1.0,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start600_end780_pull5.0_vwap1.0_rev1.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start660_end780_pull5.0_vwap0.0_rev0.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start660_end780_pull5.0_vwap0.0_rev1.0,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start660_end780_pull5.0_vwap0.0_rev1.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start660_end780_pull5.0_vwap0.5_rev0.5,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
overshoot_pc20_start660_end780_pull5.0_vwap0.5_rev1.0,2,50.0,-3.9848010928223703,-3.9848010928223703,-8.299812417765773,0,2,100.0
