variant,events,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,labeled_match_pct,params
neg_long_t10_start780_end870_reb4_vwap0.5_imp1_exittime_10_lvwap0.5_lgain2,13,53.84615384615385,-1.1754478491548837,0.027459325873557816,-15.866896848184242,53.84615384615385,"{'downside_prev_close_min': 10.0, 'start_minute': 780, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_10', 'long_vwap_touch_buffer': 0.5, 'long_ema_roll_gain_min': 2.0, 'long_max_hold_bars': 20}"
neg_long_t10_start780_end870_reb4_vwap0.5_imp1_exittime_10_lvwap1_lgain1,13,53.84615384615385,-1.1754478491548837,0.027459325873557816,-15.866896848184242,53.84615384615385,"{'downside_prev_close_min': 10.0, 'start_minute': 780, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_10', 'long_vwap_touch_buffer': 1.0, 'long_ema_roll_gain_min': 1.0, 'long_max_hold_bars': 20}"
neg_long_t10_start780_end870_reb4_vwap0.5_imp1_exittime_10_lvwap1_lgain2,13,53.84615384615385,-1.1754478491548837,0.027459325873557816,-15.866896848184242,53.84615384615385,"{'downside_prev_close_min': 10.0, 'start_minute': 780, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_10', 'long_vwap_touch_buffer': 1.0, 'long_ema_roll_gain_min': 2.0, 'long_max_hold_bars': 20}"
neg_long_t12.5_start720_end900_reb4_vwap-0.5_imp0.5_exitema_roll_lvwap0.5_lgain1,12,50.0,-1.2630023436775522,0.15872064273494413,-15.86733720206932,58.333333333333336,"{'downside_prev_close_min': 12.5, 'start_minute': 720, 'max_minute': 900, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': -0.5, 'rebound_impulse_min': 0.5, 'long_exit_mode': 'ema_roll', 'long_vwap_touch_buffer': 0.5, 'long_ema_roll_gain_min': 1.0, 'long_max_hold_bars': 20}"
neg_long_t12.5_start720_end900_reb4_vwap-0.5_imp0.5_exitema_roll_lvwap1_lgain1,12,50.0,-1.2630023436775522,0.15872064273494413,-15.86733720206932,58.333333333333336,"{'downside_prev_close_min': 12.5, 'start_minute': 720, 'max_minute': 900, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': -0.5, 'rebound_impulse_min': 0.5, 'long_exit_mode': 'ema_roll', 'long_vwap_touch_buffer': 1.0, 'long_ema_roll_gain_min': 1.0, 'long_max_hold_bars': 20}"
neg_long_t10_start780_end900_reb3_vwap0_imp0.5_exitema_roll_lvwap0.5_lgain2,21,42.857142857142854,-0.6806011121183821,-0.25599696596187993,-15.951258217796127,52.38095238095239,"{'downside_prev_close_min': 10.0, 'start_minute': 780, 'max_minute': 900, 'rebound_from_trough_min': 3.0, 'vwap_reclaim_min': 0.0, 'rebound_impulse_min': 0.5, 'long_exit_mode': 'ema_roll', 'long_vwap_touch_buffer': 0.5, 'long_ema_roll_gain_min': 2.0, 'long_max_hold_bars': 20}"
neg_long_t10_start780_end900_reb3_vwap0_imp0.5_exitema_roll_lvwap1_lgain2,21,42.857142857142854,-0.6806011121183821,-0.25599696596187993,-15.951258217796127,52.38095238095239,"{'downside_prev_close_min': 10.0, 'start_minute': 780, 'max_minute': 900, 'rebound_from_trough_min': 3.0, 'vwap_reclaim_min': 0.0, 'rebound_impulse_min': 0.5, 'long_exit_mode': 'ema_roll', 'long_vwap_touch_buffer': 1.0, 'long_ema_roll_gain_min': 2.0, 'long_max_hold_bars': 20}"
neg_long_t15_start690_end870_reb4_vwap0.5_imp1_exittime_20_lvwap0.5_lgain1,3,66.66666666666666,-5.1278865113557535,0.9050000000000002,-15.9599299520764,66.66666666666666,"{'downside_prev_close_min': 15.0, 'start_minute': 690, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_20', 'long_vwap_touch_buffer': 0.5, 'long_ema_roll_gain_min': 1.0, 'long_max_hold_bars': 20}"
neg_long_t15_start690_end870_reb4_vwap0.5_imp1_exittime_20_lvwap0.5_lgain2,3,66.66666666666666,-5.1278865113557535,0.9050000000000002,-15.9599299520764,66.66666666666666,"{'downside_prev_close_min': 15.0, 'start_minute': 690, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_20', 'long_vwap_touch_buffer': 0.5, 'long_ema_roll_gain_min': 2.0, 'long_max_hold_bars': 20}"
neg_long_t15_start690_end870_reb4_vwap0.5_imp1_exittime_20_lvwap1_lgain1,3,66.66666666666666,-5.1278865113557535,0.9050000000000002,-15.9599299520764,66.66666666666666,"{'downside_prev_close_min': 15.0, 'start_minute': 690, 'max_minute': 870, 'rebound_from_trough_min': 4.0, 'vwap_reclaim_min': 0.5, 'rebound_impulse_min': 1.0, 'long_exit_mode': 'time_20', 'long_vwap_touch_buffer': 1.0, 'long_ema_roll_gain_min': 1.0, 'long_max_hold_bars': 20}"
