symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,notes
SBUX,2024-05-01,1,Long,2024-05-01T12:02:00,2024-05-01T12:04:00,75.38,75.25,-0.17245953833907596,-2.5245953833907597,Entry: Long @ 75.3800 (signal-bar close) | regime=earnings_negative_rebound_long | SL=71.9954 | TP=none | fill_diag: close=75.3800 H=75.7300 L=74.9600 range=1.021% | session_exit=eod
DASH,2024-05-02,1,Long,2024-05-02T12:00:00,2024-05-02T12:01:00,116.6,119.5,2.4871355060034355,24.071355060034357,Entry: Long @ 116.6000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=110.1352 | TP=none | fill_diag: close=116.6000 H=117.3800 L=111.5000 range=5.043% | session_exit=eod
ABNB,2024-08-07,1,Long,2024-08-07T12:46:00,2024-08-07T12:47:00,113.2,113.0,-0.17667844522968448,-2.5667844522968446,Entry: Long @ 113.2000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=108.1373 | TP=none | fill_diag: close=113.2000 H=113.2000 L=112.8800 range=0.283% | session_exit=eod
MNST,2024-08-08,1,Long,2024-08-08T14:21:00,2024-08-08T14:22:00,45.09,45.105,0.033266799733851105,-0.46733200266148905,Entry: Long @ 45.0900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=43.0601 | TP=none | fill_diag: close=45.0900 H=45.1200 L=45.0000 range=0.266% | session_exit=eod
WBD,2024-08-08,1,Long,2024-08-08T12:00:00,2024-08-08T12:02:00,6.95,7.01,0.86330935251798,7.833093525179801,Entry: Long @ 6.9500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=6.6399 | TP=none | fill_diag: close=6.9500 H=6.9575 L=6.7527 range=2.947% | session_exit=eod
PDD,2024-11-21,1,Long,2024-11-21T12:00:00,2024-11-21T12:01:00,106.59,105.78,-0.7599211933577279,-8.399211933577279,Entry: Long @ 106.5900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=96.4180 | TP=none | fill_diag: close=106.5900 H=106.7500 L=105.0000 range=1.642% | session_exit=eod
PDD,2025-05-27,1,Long,2025-05-27T13:20:00,2025-05-27T14:22:00,98.66,99.817,1.1727143725927391,10.927143725927392,Entry: Long @ 98.6600 (signal-bar close) | regime=earnings_negative_rebound_long | SL=93.4459 | TP=none | fill_diag: close=98.6600 H=98.6600 L=98.5000 range=0.162% | session_exit=eod
ARM,2025-07-31,1,Long,2025-07-31T14:14:00,2025-07-31T14:15:00,145.67,145.93,0.178485618178087,0.9848561817808701,Entry: Long @ 145.6700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=139.1600 | TP=none | fill_diag: close=145.6700 H=145.6800 L=144.9018 range=0.534% | session_exit=eod
CHTR,2025-10-31,1,Long,2025-10-31T13:28:00,2025-10-31T13:31:00,216.49,222.895,2.958566215529586,28.785662155295856,Entry: Long @ 216.4900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=206.7421 | TP=none | fill_diag: close=216.4900 H=216.4900 L=211.7000 range=2.213% | session_exit=eod
PYPL,2026-02-03,1,Long,2026-02-03T13:01:00,2026-02-03T13:03:00,52.97,53.74,1.453653011138386,13.73653011138386,Entry: Long @ 52.9700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=43.1595 | TP=none | fill_diag: close=52.9700 H=53.2300 L=43.8700 range=17.670% | session_exit=eod
CPRT,2026-02-20,1,Long,2026-02-20T14:28:00,2026-02-20T14:29:00,34.45,34.4,-0.14513788098694996,-2.2513788098695,Entry: Long @ 34.4500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=32.7026 | TP=none | fill_diag: close=34.4500 H=34.9200 L=33.8900 range=2.990% | session_exit=eod
MELI,2026-02-25,1,Long,2026-02-25T14:37:00,2026-02-25T14:40:00,1727.64,1743.99,0.9463777175800461,8.66377717580046,Entry: Long @ 1727.6400 (signal-bar close) | regime=earnings_negative_rebound_long | SL=1644.3146 | TP=none | fill_diag: close=1727.6400 H=1729.0000 L=1710.0000 range=1.100% | session_exit=eod
