variant,params_json,overall_compounded_return_pct,overall_triggered_events,overall_total_trades,overall_win_rate_pct,overall_max_drawdown_pct,branch,branch_events,branch_compounded_return_pct,branch_mean_return_pct,branch_win_rate_pct
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": -0.5}}",188.22605149612266,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,8.119561349889537,0.7959999999999999,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.0}}",188.22605149612266,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,8.119561349889537,0.7959999999999999,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.25}}",188.08031825968726,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,8.064893794629668,0.7908999999999999,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": -0.5}}",187.8070468795888,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.962384040246451,0.7815,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",187.8070468795888,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.962384040246451,0.7815,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.0}}",187.8070468795888,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.962384040246451,0.7815,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",187.8070468795888,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.962384040246451,0.7815,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.25}}",187.6615255008204,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.907795957185271,0.7764,60.0
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",187.6615255008204,36,44,80.55555555555556,-4.079999999999995,negative_rebound,10,7.907795957185271,0.7764,60.0
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": -0.5}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": -0.5}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.0}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.0}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",187.5252721129181,35,43,80.0,-4.079999999999995,negative_rebound,9,7.856684489446786,0.8574444444444445,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.25}}",185.38164586989353,35,43,80.0,-4.079999999999995,negative_rebound,9,7.052565889164586,0.773888888888889,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.25}}",185.38164586989353,35,43,80.0,-4.079999999999995,negative_rebound,9,7.052565889164586,0.773888888888889,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",185.38164586989353,35,43,80.0,-4.079999999999995,negative_rebound,9,7.052565889164586,0.773888888888889,55.55555555555556
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",178.88586033342776,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.61586220058392,0.5782499999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",178.88586033342776,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.61586220058392,0.5782499999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",178.88586033342776,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.61586220058392,0.5782499999999999,62.5
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": -0.5}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": -0.5}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
