symbol,reaction_date,timing,direction,surprise_pct,gap_pct,peak_vs_prev_close_pct,entry_time,entry_px,exit_px,return_pct,break_time,break_close_from_vwap_pct,rebound_size_pct,rebound_max_high_from_vwap_pct,rebound_lower_high_from_peak_pct,label_match,variant
ZS,2024-05-31,amc,short,35.94,14.788269537729647,15.802322306031114,2024-05-31T13:52:00,173.71,165.0142,5.005929422600897,2024-05-31T13:32:00,-2.02307578331572,0.49916128244660296,-0.8060751622159135,3.8810810810810836,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
TEAM,2024-11-01,amc,short,19.01,19.328661010697147,23.28608315329081,2024-11-01T13:45:00,219.695,221.235,-0.7009718018161637,2024-11-01T13:30:00,-1.5810309215611218,0.8028817487749862,-0.39551015675889367,3.8938707471362743,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
MCHP,2025-05-09,amc,short,5.3,7.582349285270351,16.780609073958974,2025-05-09T13:45:00,53.52,53.03,0.9155455904334864,2025-05-09T13:32:00,-2.0919379914503655,0.6711409395973034,-0.2619482810502838,4.204364023416707,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
DDOG,2025-08-07,bmo,short,12.84,1.7000855622930633,15.330530858226998,2025-08-07T12:31:00,143.6,133.82,6.8105849582172695,2025-08-07T12:20:00,-2.134523063014737,0.8663282571911957,-1.174548532585229,3.8578156247983886,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
AVGO,2025-09-05,amc,short,1.6,9.10321153909628,17.222827342641178,2025-09-05T13:54:00,339.77,332.12,2.2515230891485327,2025-09-05T13:43:00,-0.9614858647884583,0.2685504115826909,-0.5399136399903526,3.2803040968604757,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
PYPL,2025-10-28,bmo,short,14.47,0.0995024875622085,16.645344705046217,2025-10-28T12:50:00,77.55,76.99,0.7221147646679582,2025-10-28T12:38:00,-0.8043000125288691,0.46024034773715083,-0.021519488301191547,4.240799415062158,True,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
INTC,2026-04-24,amc,short,2108.68,24.31274017144547,28.92403192432753,2026-04-24T12:44:00,83.4412,81.68,2.1107078996946194,2026-04-24T12:33:00,-1.4048229282265012,0.2616555661274944,-1.1122815848476963,3.3589361458214007,False,vwapfail_pc15_start720_end840_break0.00_reb0.25_win10_rvwap0.00_lh3.0_bd0.5
