label,eligible_events,triggered_events,coverage_pct,total_trades,win_rate_pct,mean_event_return_pct,median_event_return_pct,compounded_event_return_pct,mean_trade_return_pct,max_drawdown_pct,params
failed_reclaim_pc20_start780_break0.00_reb0.50_lh3.0,28,2,7.142857142857142,2,50.0,-0.08700000000000002,-0.08700000000000002,-0.17874066999998828,-0.08700000000000002,0.0,"{'label': 'failed_reclaim_pc20_start780_break0.00_reb0.50_lh3.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.0, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 3.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start780_break0.50_reb0.50_lh3.0,28,2,7.142857142857142,2,50.0,-0.08700000000000002,-0.08700000000000002,-0.17874066999998828,-0.08700000000000002,0.0,"{'label': 'failed_reclaim_pc20_start780_break0.50_reb0.50_lh3.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.5, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 3.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start720_break0.00_reb0.50_lh2.0,28,3,10.714285714285714,3,33.33333333333333,-0.5713333333333335,-0.781,-1.8080361890511876,-0.5713333333333335,-3.6959999999999993,"{'label': 'failed_reclaim_pc20_start720_break0.00_reb0.50_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 720, 'max_minute': 840, 'vwap_break_min': 0.0, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start720_break0.50_reb0.50_lh2.0,28,3,10.714285714285714,3,33.33333333333333,-0.5713333333333335,-0.781,-1.8080361890511876,-0.5713333333333335,-3.6959999999999993,"{'label': 'failed_reclaim_pc20_start720_break0.50_reb0.50_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 720, 'max_minute': 840, 'vwap_break_min': 0.5, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start720_break0.00_reb0.25_lh2.0,28,4,14.285714285714285,4,25.0,-1.2317500000000001,-2.1175,-4.962349332729787,-1.2317500000000001,-4.214262724608986,"{'label': 'failed_reclaim_pc20_start720_break0.00_reb0.25_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 720, 'max_minute': 840, 'vwap_break_min': 0.0, 'rebound_min': 0.25, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start720_break0.50_reb0.25_lh2.0,28,4,14.285714285714285,4,25.0,-1.2317500000000001,-2.1175,-4.962349332729787,-1.2317500000000001,-4.214262724608986,"{'label': 'failed_reclaim_pc20_start720_break0.50_reb0.25_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 720, 'max_minute': 840, 'vwap_break_min': 0.5, 'rebound_min': 0.25, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start780_break0.00_reb0.50_lh2.0,28,3,10.714285714285714,3,33.33333333333333,-1.6563333333333334,-0.781,-4.965170054873502,-1.6563333333333334,-4.795000000000005,"{'label': 'failed_reclaim_pc20_start780_break0.00_reb0.50_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.0, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start780_break0.50_reb0.50_lh2.0,28,3,10.714285714285714,3,33.33333333333333,-1.6563333333333334,-0.781,-4.965170054873502,-1.6563333333333334,-4.795000000000005,"{'label': 'failed_reclaim_pc20_start780_break0.50_reb0.50_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.5, 'rebound_min': 0.5, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start780_break0.00_reb0.25_lh2.0,28,4,14.285714285714285,4,25.0,-1.9625000000000001,-2.1175,-7.725104240794445,-1.9625000000000001,-6.998764592259999,"{'label': 'failed_reclaim_pc20_start780_break0.00_reb0.25_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.0, 'rebound_min': 0.25, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
failed_reclaim_pc20_start780_break0.50_reb0.25_lh2.0,28,4,14.285714285714285,4,25.0,-1.9625000000000001,-2.1175,-7.725104240794445,-1.9625000000000001,-6.998764592259999,"{'label': 'failed_reclaim_pc20_start780_break0.50_reb0.25_lh2.0', 'overshoot_prev_close_min': 20.0, 'start_minute': 780, 'max_minute': 840, 'vwap_break_min': 0.5, 'rebound_min': 0.25, 'reclaim_window_bars': 10, 'reclaim_vwap_buffer': 0.0, 'lower_high_min': 2.0, 'breakdown_impulse_min': 0.5}"
