symbol,event_time_et,reaction_date,timing,surprise_pct,eps_estimate,reported_eps,prev_close,open_px,close_px,gap_pct,open_to_close_pct,confirm5_close_from_open_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,open_to_30m_pct,open_to_60m_pct,first30_high_from_open_pct,first30_low_from_open_pct,afterhours_high_from_prev_close_pct,afterhours_low_from_prev_close_pct,entry5_close,entry15_close,entry30_close,late_equilibrium_px,session_peak_px,session_peak_time,session_trough_px,session_trough_time,peak_vs_equilibrium_pct,trough_vs_equilibrium_pct,peak_vs_prev_close_pct,trough_vs_prev_close_pct,close_vs_prev_close_pct,close_vs_peak_pct,close_vs_trough_pct,overshoot_dump_label,overshoot_rebound_label,session_close_px
FAST,2024-04-11T07:00:00,2024-04-11,bmo,-2.03,0.27,0.26,35.74,35.03,33.88,-1.9865696698377235,-3.2829003711104754,-2.083928061661444,-2.083928061661444,-2.083928061661444,-2.083928061661444,-2.083928061661444,,,,,34.3,34.3,34.3,33.87,35.03,2024-04-11T10:50:00,32.68,2024-04-11T10:57:00,3.424859757897858,-3.5134337171538133,-1.9865696698377233,-8.561835478455516,-5.204252937884723,-3.2829003711104754,3.6719706242350103,False,True,33.88
APLD,2024-04-11T16:00:00,2024-04-12,amc,-259.98,-0.07,-0.24,2.875,2.77,2.9701,-3.652173913043477,7.22382671480144,0.0,-0.3610108303249149,-1.805054151624541,-1.805054151624541,-1.0830324909747224,0.0,-1.805054151624541,7.478260869565223,-18.260869565217387,2.77,2.76,2.72,2.915,3.48,2024-04-12T13:30:00,2.65,2024-04-12T11:18:00,19.38250428816466,-9.090909090909093,21.043478260869563,-7.826086956521738,3.3078260869565224,-14.652298850574718,12.079245283018869,False,True,2.9701
ASML,2024-04-17T01:00:00,2024-04-17,bmo,11.55,2.79,3.11,954.82,919.02,888.34,-3.749397792254039,-3.3383386650997715,0.0,0.2404735479097253,0.4232769689451743,0.4232769689451743,0.7867075798132728,0.578877499945607,0.0,-3.061309985128091,-4.710835550156056,919.02,921.23,922.91,892.48,929.06,2024-04-17T13:27:00,872.83,2024-04-17T12:02:00,4.098691287199707,-2.201730010756542,-2.6978907019124088,-8.586958798516998,-6.9625688611466,-4.382924676554789,1.7769783348418278,True,False,888.34
CSX,2024-04-17T16:00:00,2024-04-18,amc,1.7,0.45,0.46,33.3,33.75,33.77,1.3513513513513598,0.05925925925927,0.0,0.0,0.0,0.0,0.0,,,2.552552552552556,-0.6006006006005871,33.75,33.75,33.75,33.79,34.12,2024-04-18T13:00:00,33.09,2024-04-18T13:30:00,0.9766203018644504,-2.0716188221367116,2.462462462462467,-0.6306306306306131,1.411411411411434,-1.0257913247362138,2.0550015110305297,False,False,33.77
ISRG,2024-04-18T16:00:00,2024-04-19,amc,5.98,1.42,1.5,374.32,383.0,367.99,2.318871553750812,-3.919060052219314,0.0,0.0,0.0,0.0,0.0,,,3.8897200256465143,-1.4212438555246787,383.0,383.0,383.0,367.3854,388.65,2024-04-19T13:30:00,365.0,2024-04-19T15:17:00,5.78809065357524,-0.6492909081308063,3.8282752724941194,-2.4898482581748205,-1.6910664671938358,-5.31583687122088,0.8191780821917849,True,False,367.99
NFLX,2024-04-18T16:00:00,2024-04-19,amc,16.66,0.45,0.53,61.55,57.22,56.06,-7.034930950446794,-2.027263194687168,0.4893393918210531,0.3145753233135373,0.3495281370150316,0.3495281370150316,-0.5592450192240528,0.4893393918210531,-0.0349528137014942,4.029244516653141,-8.123476848090982,57.5,57.4,57.42,56.13,57.93,2024-04-19T11:16:00,55.66,2024-04-19T13:37:00,3.2068412613575514,-0.8373418849100367,-5.881397238017872,-9.56945572705118,-8.919577579203896,-3.2280338339375048,0.7186489399928275,True,False,56.06
CDNS,2024-04-22T16:00:00,2024-04-23,amc,3.47,1.13,1.17,284.03,268.47,279.145,-5.478294546350715,3.976235706037912,0.0,0.0,0.0,0.0,-0.1154691399411489,,,1.7498151603703826,-9.58701545611378,268.47,268.47,268.47,279.59,285.975,2024-04-23T13:30:00,265.2656,2024-04-23T12:29:00,2.2837011338030955,-5.123359204549505,0.6847868182938699,-6.60648523043339,-1.719888744146747,-2.3883206574001337,5.232265322001783,False,False,279.145
CSGP,2024-04-22T22:00:00,2024-04-23,amc,51.86,0.07,0.1,84.59,85.29,85.46,0.8275209835677977,0.199319967170819,0.0,0.0,0.0,0.0,0.0,,,,,85.29,85.29,85.29,85.54,86.04,2024-04-23T14:12:00,84.61,2024-04-23T13:27:00,0.5845218611176151,-1.0872106616787502,1.7141506088190095,0.023643456673361207,1.0284903652914013,-0.6741050674105242,1.0046093842335457,False,False,85.46
PEP,2024-04-23T06:00:00,2024-04-23,bmo,5.96,1.52,1.61,163.73,162.85,160.06,-0.5374702253710395,-1.7132330365366877,0.0,0.3377341111452381,0.3377341111452381,0.3377341111452381,0.5403745778323588,0.3377341111452381,0.0,0.0,-0.3725645880412798,162.85,163.4,163.4,160.32,164.89,2024-04-23T13:20:00,158.32,2024-04-23T14:27:00,2.8505489021956043,-1.2475049900199653,0.7084834788981809,-3.3042203627923983,-2.241495144445116,-2.9292255443022497,1.0990399191511013,False,False,160.06
BKR,2024-04-23T17:00:00,2024-04-24,amc,8.62,0.4,0.43,31.4,30.94,31.11,-1.4649681528662306,0.5494505494505475,0.0,0.0,0.0,0.0,0.0,,,3.0254777070063854,-3.630573248407632,30.94,30.94,30.94,31.33,32.35,2024-04-24T14:27:00,30.93,2024-04-24T11:46:00,3.2556654963294074,-1.2767315671879942,3.0254777070063854,-1.496815286624198,-0.923566878980886,-3.833075734157654,0.5819592628516057,True,False,31.11
