         1601449625 function calls (1571183242 primitive calls) in 556.150 seconds

   Ordered by: cumulative time
   List reduced from 1331 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 28910074    4.383    0.000    4.402    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2023(internal_values)
  2776211    1.832    0.000    4.169    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\components\spike_event.py:21(build_event_short_setup)
  5552422    4.023    0.000    4.041    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\bollinger_rsi_strategy.py:1458(_downtrend_risk_score)
 36459023    4.005    0.000    4.005    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\components\gold_macro_regime.py:28(<genexpr>)
      407    0.002    0.000    3.779    0.009 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6485(astype)
      416    0.001    0.000    3.755    0.009 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:440(astype)
      416    0.002    0.000    3.751    0.009 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:749(astype)
      416    0.001    0.000    3.745    0.009 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\astype.py:191(astype_array_safe)
      416    0.001    0.000    3.739    0.009 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\astype.py:157(astype_array)
      109    3.696    0.034    3.704    0.034 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\astype.py:56(_astype_nansafe)
       27    3.123    0.116    3.123    0.116 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\earnings_negative_hybrid_strategy.py:394(_empty_meta)
       27    2.853    0.106    2.853    0.106 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\earnings_overshoot_hybrid_strategy.py:539(_empty_meta)
 28745698    2.763    0.000    2.763    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:575(_get_axis_number)
   172890    0.496    0.000    2.634    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
  9431589    1.662    0.000    2.509    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\reporting\managed_portfolio_backtest.py:586(_build_candidate)
  2776211    2.438    0.000    2.442    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\bollinger_rsi_strategy.py:1431(_uptrend_risk_score)
       36    1.113    0.031    2.372    0.066 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\reporting\managed_portfolio_backtest.py:562(_compute_prior_day_close_arr)
  2775775    0.962    0.000    2.369    0.000 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\components\fair_gap_fade_short.py:14(fair_gap_fade_short_ready)
      661    0.001    0.000    2.364    0.004 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\accessor.py:95(_getter)
      661    0.006    0.000    2.363    0.004 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\accessors.py:88(_delegate_property_get)
      742    0.002    0.000    2.262    0.003 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\extension.py:67(fget)


