,date,symbol,action,close,strategy,confidence,tp,sl,rsi,regime,verdict_reason
36,2026-04-22T15:56:00.000Z,GLD,HOLD,434.3900146484375,Bollinger + RSI (Spike-Aware),0.22200000000000003,,,61.1,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
35,2026-04-22T15:55:00.000Z,GLD,HOLD,434.2799987792969,Bollinger + RSI (Spike-Aware),0.11920000000000001,,,55.96,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
34,2026-04-22T15:54:00.000Z,GLD,HOLD,434.1795959472656,Bollinger + RSI (Spike-Aware),0.013400000000000033,,,50.67,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
33,2026-04-22T15:52:00.000Z,GLD,HOLD,433.8800048828125,Bollinger + RSI (Spike-Aware),0.40840000000000004,,,29.58,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
32,2026-04-22T15:51:00.000Z,GLD,HOLD,433.9700012207031,Bollinger + RSI (Spike-Aware),0.33680000000000004,,,33.16,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
31,2026-04-22T15:50:00.000Z,GLD,HOLD,434.1099853515625,Bollinger + RSI (Spike-Aware),0.2036,,,39.82,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
30,2026-04-22T15:48:00.000Z,GLD,HOLD,434.260009765625,Bollinger + RSI (Spike-Aware),0.030600000000000023,,,48.47,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
29,2026-04-22T15:46:00.000Z,GLD,HOLD,434.18499755859375,Bollinger + RSI (Spike-Aware),0.13079999999999997,,,43.46,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
28,2026-04-22T15:46:00.000Z,GLD,HOLD,434.18499755859375,Bollinger + RSI (Spike-Aware),0.13079999999999997,,,43.46,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
27,2026-04-22T15:44:00.000Z,GLD,HOLD,434.05999755859375,Bollinger + RSI (Spike-Aware),0.28659999999999997,,,35.67,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
26,2026-04-22T15:43:00.000Z,GLD,HOLD,434.0499877929688,Bollinger + RSI (Spike-Aware),0.29900000000000004,,,35.05,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
